정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
망우역.망우지구대,127.0955472426,37.59886935,"20",망우본동,127.101496236064,37.6005715426196
망우역.상봉터미널,127.0911282488,37.5978570858,"19",상봉1동,127.087213355959,37.5998477528859
경남아파트,127.1071026565,37.6038223574,"19",망우본동,127.101496236064,37.6005715426196
상봉역.중랑우체국,127.0837377269,37.5959733573,"17",상봉1동,127.087213355959,37.5998477528859
사가정역,127.0877376515,37.5808204757,"16",면목제3.8동,127.088094854057,37.5829697185521
면목두산아파트2차,127.0848414888,37.5810520374,"16",면목제3.8동,127.088094854057,37.5829697185521
농협앞,127.0920296352,37.5893561893,"15",면목본동,127.087488538133,37.5872805191983
지하철7호선면목역,127.0883511907,37.5884305722,"15",면목본동,127.087488538133,37.5872805191983
성원아파트경남아너스빌앞,127.0955183607,37.6039650362,"15",신내2동,127.094178921329,37.6062466374476
중랑구청사거리,127.09525,37.605508,"14",신내2동,127.094178921329,37.6062466374476
국민은행망우동지점,127.0971320519,37.5994814989,"14",망우본동,127.101496236064,37.6005715426196
신내교회.신내데시앙아파트,127.101065486,37.6105368364,"14",신내1동,127.09936528756,37.6058747809943
우림시장.망우사거리,127.0990469452,37.5996490586,"13",망우본동,127.101496236064,37.6005715426196
능산지하차도,127.1003289798,37.6010829917,"13",신내1동,127.09936528756,37.6058747809943
건영아파트,127.096076241,37.6022264045,"13",신내2동,127.094178921329,37.6062466374476
지하철7호선상봉역,127.086021964,37.5942111348,"12",상봉2동,127.083282516153,37.5925021081304
쌍용아파트신내테크노타운앞,127.0880181675,37.6032055994,"11",상봉1동,127.087213355959,37.5998477528859
엘지아파트앞,127.0901557798,37.6040803885,"11",상봉1동,127.087213355959,37.5998477528859
신현중학교,127.0913576132,37.6048532335,"11",상봉1동,127.087213355959,37.5998477528859
중랑구청,127.0935972044,37.6062581902,"11",신내2동,127.094178921329,37.6062466374476
지하철7호선사가정역,127.0885263319,37.581214688,"11",면목제3.8동,127.088094854057,37.5829697185521
신내10단지아파트,127.0956361212,37.609120465,"10",신내2동,127.094178921329,37.6062466374476
하나은행면목지점,127.0811027289,37.5869337462,"10",면목2동,127.079026745116,37.5897840385122
면목초등학교,127.0867729193,37.5913176907,"10",면목본동,127.087488538133,37.5872805191983
면목본동주민센터.면목정보도서관,127.088105612,37.5865163147,"10",면목본동,127.087488538133,37.5872805191983
면동초등학교,127.0883594934,37.5848547946,"10",면목본동,127.087488538133,37.5872805191983
면목우체국.녹색병원,127.088507,37.582642,"10",면목제3.8동,127.088094854057,37.5829697185521
신내동성3차아파트,127.0952217029,37.607615246,"9",신내1동,127.09936528756,37.6058747809943
신내동성1.2차아파트,127.0960446102,37.6096940571,"9",신내1동,127.09936528756,37.6058747809943
용마문화복지센터,127.0951787783,37.5864251892,"9",면목제3.8동,127.088094854057,37.5829697185521
면목2동,127.0798672126,37.587293725,"9",면목2동,127.079026745116,37.5897840385122
신내초등학교,127.100765,37.605293,"9",신내1동,127.09936528756,37.6058747809943
중흥초등학교,127.083193,37.601712,"8",중화1동,127.080674011197,37.6011714540443
이화연립경동제일교회앞,127.0853819453,37.6023605207,"8",중화1동,127.080674011197,37.6011714540443
서일대학교,127.0966468699,37.5891327539,"8",면목제3.8동,127.088094854057,37.5829697185521
혜원여중고후문,127.0965574812,37.5903711809,"8",면목제3.8동,127.088094854057,37.5829697185521
면목복개천,127.0859032952,37.5879996557,"8",면목본동,127.087488538133,37.5872805191983
상봉2동복합청사.도서관,127.0800827955,37.5918888832,"8",면목2동,127.079026745116,37.5897840385122
금란교회,127.1040289353,37.6005554124,"8",망우본동,127.101496236064,37.6005715426196
면중초등학교,127.0933712319,37.5822665534,"8",면목제3.8동,127.088094854057,37.5829697185521
면목동금호어울림아파트,127.091856794,37.5792808003,"8",면목7동,127.086985272854,37.5790133781011
양원리,127.1061903656,37.6089189684,"8",망우본동,127.101496236064,37.6005715426196
용마공원입구,127.0993804497,37.5943086886,"8",망우3동,127.098169752646,37.5923753380627
상봉터미널,127.092906444,37.5962294187,"7",상봉2동,127.083282516153,37.5925021081304
망우역,127.095317,37.598636,"7",망우본동,127.101496236064,37.6005715426196
신내새한아파트앞,127.1009227036,37.605844343,"7",신내1동,127.09936528756,37.6058747809943
양원역입구,127.1061950313,37.6055399874,"7",망우본동,127.101496236064,37.6005715426196
망우동고개,127.1071376819,37.6006041603,"7",망우본동,127.101496236064,37.6005715426196
상봉1동주민센터,127.0875704617,37.6004295116,"7",상봉1동,127.087213355959,37.5998477528859
신내쌍용아파트,127.0874081648,37.6015328069,"7",상봉1동,127.087213355959,37.5998477528859
국민은행중화동지점,127.0799291385,37.5988354686,"6",중화2동,127.076173176737,37.6028286629633
중화동한신아파트,127.0800736519,37.5990656913,"6",중화1동,127.080674011197,37.6011714540443
동성프라자앞,127.0971981563,37.6077456771,"6",신내1동,127.09936528756,37.6058747809943
면목시장,127.0876333438,37.579662425,"6",면목7동,127.086985272854,37.5790133781011
사가정시장,127.0895327626,37.5805004062,"6",면목7동,127.086985272854,37.5790133781011
면목역,127.0885813363,37.5885893056,"5",면목본동,127.087488538133,37.5872805191983
면목2동주민센터,127.079968189,37.5893793676,"5",면목2동,127.079026745116,37.5897840385122
망우지구대,127.0958756224,37.5989456248,"5",망우본동,127.101496236064,37.6005715426196
