field_1,전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역,H/B,행정동,행정동_경도,행정동_위도
"9","2727",군자역,Gunja,7호선,"725",군자역 7호선,서울 광진구 천호대로 지하 550,37.5573631939521,127.079017279019,"1",H,중곡1동,127.080082528538,37.5606740001451
"108","2724",사가정역,Sagajeong,7호선,"722",사가정역 7호선,서울 중랑구 사가정로 지하 393,37.5807945533834,127.088439058456,"0",H,면목제3.8동,127.088094854057,37.5829697185521
"109","2725",용마산역,Yongmasan,7호선,"723",용마산역 7호선,서울 중랑구 용마산로 지하 227,37.5740302107904,127.087038114766,"0",H,면목4동,127.085626342164,37.5746895999068
"110","2726",중곡역,Junggok,7호선,"724",중곡역 7호선,서울 광진구 능동로 지하 417,37.5655258842084,127.084072412789,"0",H,중곡3동,127.080208942193,37.5687936902462
"194","2544",장한평역,Janghanpyeong,5호선,"543",장한평역 5호선,서울 동대문구 천호대로 지하 405,37.5615026802954,127.064421108758,"0",H,용답동,127.055579052769,37.5640758244279
"195","2545",군자역,Gunja,5호선,"544",군자역 5호선,서울 광진구 천호대로 지하 550,37.5573631939521,127.079017279019,"1",H,중곡1동,127.080082528538,37.5606740001451
"196","2546",아차산역,Achasan,5호선,"545",아차산역 5호선,서울 광진구 천호대로 지하 657,37.5524011361136,127.08937059931,"0",H,능동,127.080536887136,37.5537792609562
