field_1,Unnamed: 0,구명,단지명,주택유형,세대수,입주개시일,주소,우편번호,전화번호,경도,위도,H/B,행정동,행정동_경도,행정동_위도
"57","57",강북구,래미안트리베라1차(래미안트리베라6),재개발,"1247",2010/05/29,삼양로19길 25 (미아동 삼성래미안트리베라1차아파트),"1200",,37.6156943247238,127.021139026425,H,삼각산동,127.020835978317,37.6150544065232
"58","58",강북구,래미안트리베라2차(래미안트리베라12),재개발,"1330",2010/06/14,삼양로27길 19 (미아동 삼성래미안트리베라아파트),"1195",,37.6161238065432,127.021741379374,H,삼각산동,127.020835978317,37.6150544065232
"59","59",강북구,송천동부(미아10-1),재개발,"376",2010/09/30,숭인로 39 (미아동 송천센트레빌),"1213",,37.6127574210341,127.026678655065,H,송천동,127.023867953194,37.6183082018123
"192","192",동대문구,제기한신(제기2),재개발,"260",2000/09/01,회기로8길 20 (제기동 한신아파트),"2467",,37.5905325185543,127.039762529212,H,제기동,127.037818414722,37.5831154639952
"372","372",성북구,동소문한진,재개발,"580",1996/12/17,성북로4길 52 (돈암동 한신한진아파트),"2831",,37.5944725333435,127.012706037821,H,돈암2동,127.01058094036,37.5980162520587
"373","373",성북구,종암SK,재개발,"465",1998/12/03,종암로24가길 53 (종암동 SK아파트),"2798",,37.6008411734995,127.037964181836,H,종암동,127.035212918853,37.5990602270364
"374","374",성북구,돈암풍림(돈암3-3),재개발,"309",1999/02/14,북악산로 898 (돈암동 풍림아파트),"2840",,37.5970387703037,127.022224666371,H,돈암1동,127.026386316288,37.6034197210099
"375","375",성북구,돈암삼성(돈암3-2),재개발,"736",1999/06/16,동소문로34길 24 (돈암동 삼성아파트),"2807",,37.5989927541109,127.023139541526,H,돈암1동,127.026386316288,37.6034197210099
"376","376",성북구,길음동부(길음3),재개발,"300",2002/03/01,숭인로2길 61 (길음동 길음동동부센트레빌아파트),"2726",,37.6093534067567,127.024973857612,H,길음2동,127.02731160121,37.6066955102538
"378","378",성북구,월곡두산,재개발,"458",2003/05/20,오패산로 46 (하월곡동 월곡두산위브아파트),"2750",,37.6074738406161,127.038709467417,H,월곡1동,127.035775560243,37.6105530868712
"380","380",성북구,길음뉴타운4단지,재개발,"276",2005/05/16,길음로 118 (길음동 길음뉴타운),"2723",,37.6113238603599,127.020847622389,H,길음1동,127.019502782008,37.6103983239234
"381","381",성북구,길음뉴타운3단지,재개발,"282",2005/05/20,길음로13길 39 (길음동 길음뉴타운),"2715",,37.6100441909211,127.01622347427,H,길음1동,127.019502782008,37.6103983239234
"383","383",성북구,종암SH-Ville,재개발,"104",2007/04/25,종암로9길 71 (종암동 종암2차 아이파크),"2810",,37.5963030677754,127.032512998201,H,종암동,127.035212918853,37.5990602270364
"384","384",성북구,길음SH-Ville(길음5),재개발,"90",2007/12/18,길음로 74 (길음동 길음뉴타운),"2724",,37.6092896639058,127.021033925155,H,길음1동,127.019502782008,37.6103983239234
"385","385",성북구,월곡3sh-ville(월곡3),재개발,"288",2008/06/24,성북구 오패산로 90 (하월곡동 래미안월곡아파트),"2741",,37.6099470914336,127.036913604861,H,월곡1동,127.035775560243,37.6105530868712
"386","386",성북구,월곡2sh-ville(월곡2),재개발,"209",2008/10/16,회기로5길 142 (하월곡동 월곡2에스에이치빌),"2794",,37.5975081254608,127.041736791664,H,월곡2동,127.047886454934,37.6057915694944
"387","387",성북구,삼선sh-ville(삼선1),재개발,"285",2008/11/19,보문로29다길 25-9 (삼선동3가 삼선1에스에이치빌),"2873",,37.5849018806257,127.013871801067,H,삼선동,127.01467420945,37.5908367124693
"388","388",성북구,정릉라온유(길음10),재건축,"236",2009/03/20,정릉로 307 (정릉동 라온유 아파트),"2719",,37.6032285064084,127.017866208389,H,정릉1동,127.016655780772,37.6014465243128
"390","390",성북구,래미안종암2차(종암4),재개발,"206",2009/11/30,종암로23길 35 (종암동 래미안세레니티),"2804",,37.5981647936001,127.029751253435,H,종암동,127.035212918853,37.5990602270364
"391","391",성북구,길음뉴타운8단지(길음8),재개발,"120",2010/07/05,길음로 33 (길음동 길음뉴타운),"2720",,37.6050492482263,127.022009385841,H,길음1동,127.019502782008,37.6103983239234
"392","392",성북구,길음뉴타운7단지(길음7),재개발,"99",2010/08/01,길음로13길 22 (길음동 길음7구역 두산위브아파트),"2715",,37.6094417730405,127.019323702394,H,길음1동,127.019502782008,37.6103983239234
"393","393",성북구,래미안종암3차(종암5),재개발,"188",2010/09/01,종암로24가길 80 (종암동 래미안라센트),"2799",,37.5993136713173,127.039226934965,H,종암동,127.035212918853,37.5990602270364
"394","394",성북구,길음뉴타운9단지(정릉길음9),재개발,"242",2010/10/01,길음로9길 50 (길음동 길음뉴타운),"2721",,37.6026965054255,127.020948040998,H,길음1동,127.019502782008,37.6103983239234
