field_1,Unnamed: 0,구명,단지명,주택유형,세대수,입주개시일,주소,우편번호,전화번호,경도,위도,H/B,행정동,행정동_경도,행정동_위도
"395","395",성북구,종암2차SK뷰(종암6),재개발,"393",2010/11/01,종암로24길 35 (종암동 종암2차SK뷰아파트),"2798",,37.6014289209143,127.034640459594,H,종암동,127.035212918853,37.5990602270364
"396","396",성북구,희망하우징(정릉 380-3),기타임대,"54",2012/02/23,정릉로 199 (정릉동 정릉희망하우징),"2710",,37.6069501157427,127.006891004638,H,정릉2동,127.011148093004,37.6044745007088
"397","397",성북구,동일하이빌뉴시티(신월곡),재건축,"451",2012/10/12,종암로 167 (하월곡동 동일하이빌뉴시티),"2734",,37.6050587642973,127.030990445726,H,길음2동,127.02731160121,37.6066955102538
"398","398",성북구,e편한세상(보문4),재개발,"440",2014/01/08,보문사길 40 (보문동3가 이편한세상보문),"2874",,37.5836665040143,127.017453841298,H,보문동,127.022809769902,37.5803802977583
"399","399",성북구,금호어울림센터힐(돈암5),재개발,"490",2014/11/17,동소문로34길 73 (돈암동 길음역 금호어울림 센터힐),"2807",,37.5997974953528,127.022327743122,H,돈암1동,127.026386316288,37.6034197210099
"400","400",성북구,정릉한화꿈에그린(정릉10),재개발,"349",2015/06/01,아리랑로19가길 21 (정릉동 정릉 꿈에그린아파트),"2820",,37.6018578498862,127.012012091133,H,정릉2동,127.011148093004,37.6044745007088
"401","401",성북구,돈암정릉,재개발,"629",2017/01/03,아리랑로 75 (돈암동 돈암코오롱하늘채),"2826",,37.598830255568,127.013625487132,H,돈암2동,127.01058094036,37.5980162520587
"402","402",성북구,보문3구역(보문파크뷰자이),재개발행복(리츠2호),"1186",2017/02/21,보문사길 111(보문동6가 보문파크뷰자이) ,"2874",,37.5828731138796,127.017891118296,H,보문동,127.022809769902,37.5803802977583
"403","403",성북구,연극인맞춤형주택(삼선동2가77),기타임대,"11",2017/06/16,삼선동2가 77,"2864",,37.5877262061726,127.009490852009,H,삼선동,127.01467420945,37.5908367124693
"406","406",성북구,래미안 길음 센터피스(길음2구역),재개발재건축행복(리츠2호),"2352",2019/02/28,성북구 숭인로 50(길음동 498-1),"2727",,37.61198667089,127.02878397742,H,길음2동,127.02731160121,37.6066955102538
"410","410",성북구,롯데캐슬골든힐스(길음3),행복(재건축),"399",2019/10/07,성북구 서경로 60(정릉동 192),"2715",,37.6099259937222,127.015458405282,H,정릉1동,127.016655780772,37.6014465243128
