경도,위도
127.0955472426,37.59886935
127.09112824879999,37.5978570858
127.10710265649999,37.6038223574
127.08373772690001,37.595973357300004
127.08773765149999,37.5808204757
127.0848414888,37.5810520374
127.0920296352,37.5893561893
127.0883511907,37.5884305722
127.0955183607,37.6039650362
127.09525,37.605508
127.0971320519,37.5994814989
127.10106548600001,37.6105368364
127.0990469452,37.5996490586
127.1003289798,37.601082991700004
127.096076241,37.6022264045
127.086021964,37.5942111348
127.0880181675,37.6032055994
127.0901557798,37.6040803885
127.0913576132,37.6048532335
127.09359720440001,37.6062581902
127.0885263319,37.581214688
127.0956361212,37.609120465
127.08110272889999,37.586933746199996
127.0867729193,37.5913176907
127.088105612,37.5865163147
127.0883594934,37.5848547946
127.088507,37.582642
127.0952217029,37.607615246
127.09604461020001,37.6096940571
127.0951787783,37.5864251892
127.0798672126,37.587293725
127.100765,37.605292999999996
127.083193,37.601712
127.0853819453,37.6023605207
127.0966468699,37.589132753899996
127.09655748120001,37.5903711809
127.0859032952,37.5879996557
127.08008279549999,37.5918888832
127.10402893530001,37.6005554124
127.09337123190001,37.582266553400004
127.091856794,37.579280800300005
127.1061903656,37.608918968400005
127.09938044969999,37.5943086886
127.092906444,37.5962294187
127.095317,37.598636
127.1009227036,37.605844343
127.10619503129999,37.6055399874
127.1071376819,37.6006041603
127.0875704617,37.6004295116
127.0874081648,37.6015328069
127.0799291385,37.5988354686
127.08007365190001,37.5990656913
127.0971981563,37.6077456771
127.0876333438,37.579662425
127.0895327626,37.5805004062
127.0885813363,37.5885893056
127.079968189,37.5893793676
127.0958756224,37.5989456248
127.0905905408,37.5935893078
127.0801327118,37.5895478357
127.09330151350001,37.592469303499996
127.0935066752,37.5904035569
127.09442800000001,37.587206
127.094186169,37.584747550500005
127.0901284341,37.5775056996
127.0939262972,37.5840442922
127.1079813498,37.6020454056
127.1039205691,37.6005423822
127.10014042469999,37.597684166
127.0977234781,37.591287841799996
127.09816884610001,37.5918210011
127.10715922850001,37.6039438719
127.0950910981,37.5944500658
127.0977771349,37.5950222177
127.099575,37.595449
127.08765803799999,37.5928649716
127.108905521,37.600492036999995
127.0925731251,37.5798573408
127.09483145520001,37.5864373874
127.1080165435,37.6023505418
127.0935232699,37.594225717600004
127.0843278399,37.5922624438
127.12007503129999,37.600617833899996
127.08376354059999,37.5868182773
127.08337854979999,37.5849023747
127.0835638485,37.581812927399994
127.1058771748,37.6058098302
127.1034852284,37.6047165282
127.10198093049999,37.6032373475
127.1001547795,37.6005134707
127.0925225918,37.580588534200004
127.09958765959999,37.6075688048
127.098226025,37.599475004
127.0782822433,37.5907270846
127.08252996430001,37.6000637535
127.0813987993,37.599781839
127.0804441874,37.5996910648
127.1015162636,37.587705494299996
127.1007138463,37.587833053800004
127.0991091811,37.588604292199996
127.09593570540001,37.5880826275
127.085182865,37.5902891629
127.0852656364,37.5902204142
127.09684477340001,37.6025290177
127.11134799999999,37.601844
127.1075370839,37.6062109225
127.0813173797,37.5916084749
127.08086500459999,37.5914094011
127.0823641061,37.5954034795
127.09435795809999,37.587776713400004
127.0849978658,37.587688762199996
127.0942024667,37.5878378611
127.088439058456,37.5807945533834
127.08543676516399,37.596713784408706
127.08756784153098,37.5883848968931
127.08543676516399,37.596713784408706
127.092756577852,37.599287615390296
127.10792148904301,37.606554361502
127.08543676516399,37.596713784408706
127.092756577852,37.599287615390296
127.087665326379,37.583557485837495
127.093639655939,37.5807886504695
127.09310753355601,37.5898566625804
127.09311937967699,37.5993639139135
127.09152819611099,37.606624435617704
127.08795748963199,37.5940214055264
127.084225181208,37.593031222341
127.090038824474,37.5943063386107
127.095764829753,37.5994951436662
127.097226613442,37.5985136707072
127.08943692425301,37.591881326841005
127.09815255500601,37.596523516476104
127.084216114675,37.5930240208772
127.094917152726,37.5918581262721
127.10283469149799,37.59229928663579
127.09908803202299,37.5915141236559
127.094917204219,37.5918986708595
127.099213100703,37.600432929449205
127.10193009397,37.6031660204211
127.10025501611601,37.6005032272381
127.10220175870899,37.599763646358795
127.10827139317101,37.6028540367437
127.099688299574,37.5958780207484
127.096354820741,37.5898432445114
127.093430676323,37.58007117471929
127.09160976769199,37.6058186173408
127.094904201668,37.6092975270629
127.098976905071,37.60976900283671
127.09162414248101,37.5983328190955
