field_1,Unnamed: 0,주차장id,주차장이름,주소,경도,위도,H/B,행정동,행정동_경도,행정동_위도
"282","719","981149598",장한평자동차시장 나동 노상공영주차장,서울 성동구 용답동 239-6,127.064935860593,37.5598048304319,H,용답동,127.055579052769,37.5640758244279
"284","721","1614804724",장한동자동차시장 가동 노상공영주차장,서울 성동구 용답동 239-3,127.06270221678,37.5604349335406,H,용답동,127.055579052769,37.5640758244279
"285","722","27196143",장한평자동차시장다동 노상공영주차장,서울 성동구 용답동 239-6,127.066163196985,37.5590518166372,H,용답동,127.055579052769,37.5640758244279
"291","772","20589328",능동공영주차장,서울 광진구 능동 205,127.080261032716,37.5540425401047,H,능동,127.080536887136,37.5537792609562
"292","777","1115982251",중곡시장 주차장,서울 광진구 중곡동 221-6,127.081895723228,37.5638046197395,H,중곡1동,127.080082528538,37.5606740001451
"293","778","445668034",중곡복개천길노상공영주차장,서울 광진구 중곡동 150-196,127.085768447545,37.56040691557,H,중곡2동,127.081526307691,37.5602945934407
"294","779","1515829123",동대문소방서 노상공영주차장,서울 동대문구 장안동 480-9,127.066938024439,37.5636122246136,H,장안1동,127.066434700604,37.5678327737798
"295","780","26500971",덕원공영주차장,서울 동대문구 장안동 458-9,127.068657152818,37.5622020791407,H,장안1동,127.066434700604,37.5678327737798
"296","783","20576632",신일피혁주변 노상공영주차장,서울 동대문구 장안동 480-9,127.068266227366,37.5654386841691,H,장안1동,127.066434700604,37.5678327737798
"297","785","1873327575",장안보성연립 노상공영주차장,서울 동대문구 장안동 479-2,127.066623049632,37.5657964172497,H,장안1동,127.066434700604,37.5678327737798
"298","789","20582962",중곡3동공영주차장,서울 광진구 중곡동 195-1,127.084590891276,37.5699961634699,H,중곡3동,127.080208942193,37.5687936902462
"299","791","27081118",용마산 남측 거주자주차장,서울 광진구 중곡동 69-2,127.092161526835,37.5590776331777,H,중곡4동,127.089447499249,37.5590779184973
"300","798","40499066",뻥튀기공원 거주자주차장,서울 광진구 중곡동 176-110,127.089705282256,37.5682967150002,H,중곡4동,127.089447499249,37.5590779184973
"304","826","9895039",용마폭포공원 공영주차장,서울 중랑구 면목동 산 1-4,127.089292374221,37.5741913369513,H,면목4동,127.085626342164,37.5746895999068
"307","831","984541335",중곡초등학교 공영주차장,서울 중랑구 면목동 380,127.083439497938,37.5748929885886,H,면목4동,127.085626342164,37.5746895999068
"364","964","23371072",장안2동 공영주차장,서울 동대문구 장안동 286-9,127.070600960021,37.5782638753114,H,장안2동,127.070614728747,37.5784584817718
"365","965","26105206",장안근린공원지하 공영주차장,서울 동대문구 장안동 300,127.071839151051,37.5767701810924,H,장안2동,127.070614728747,37.5784584817718
"366","966","20594591",동답공영주차장,서울 동대문구 답십리동 2-283,127.063538279758,37.5693588525049,H,답십리2동,127.061286310888,37.5673273970964
"367","969","20583006",중산공영주차장,서울 동대문구 답십리동 23-3,127.058887739807,37.5687053391359,H,답십리2동,127.061286310888,37.5673273970964
"368","971","1687797569",Tmap주차 마루하우스 민영 주차장,서울 동대문구 장안동 94-27,127.070708137628,37.5814641408989,H,장안2동,127.070614728747,37.5784584817718
"375","1008","868138056",장안2동 공영주차장 여성안심택배보관함,서울 동대문구 장안동 286-9,127.070600963424,37.5782674792853,H,장안2동,127.070614728747,37.5784584817718
"392","1064","1205834917",면목4동주민센터 주차장,서울 중랑구 면목동 378-13,127.085400011552,37.5747546354536,H,면목4동,127.085626342164,37.5746895999068
"393","1065","20516003",답십리로75공영주차장,서울 중랑구 면목동 376-50,127.081026325605,37.5751793838044,H,면목4동,127.085626342164,37.5746895999068
"394","1066","20516007",면목시장 주차장,서울 중랑구 면목동 666-17,127.084248602925,37.5776458522331,H,면목7동,127.086985272854,37.5790133781011
"395","1068","1573741409",면목유수지 공영주차장,서울 중랑구 면목동 168-2,127.081401327213,37.5796138185428,H,면목5동,127.07948445767,37.5857905325381
"396","1069","26535439",까치공원공영주차장,서울 중랑구 면목동 570,127.087665326379,37.5835574858375,H,면목제3.8동,127.088094854057,37.5829697185521
"397","1070","20517024",사가정공원 공영주차장,서울 중랑구 면목동 1081-1,127.093639655939,37.5807886504695,H,면목제3.8동,127.088094854057,37.5829697185521
"398","1074","16062131",면목5동공영주차장,서울 중랑구 면목동 162-22,127.080177948333,37.583172678933,H,면목5동,127.07948445767,37.5857905325381
"399","1076","20516006",면목5동공영주차장,서울 중랑구 면목동 173-99,127.076806497382,37.5843723406076,H,면목5동,127.07948445767,37.5857905325381
