field_1,전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역,H/B,행정동,행정동_경도,행정동_위도
"108","2724",사가정역,Sagajeong,7호선,"722",사가정역 7호선,서울 중랑구 사가정로 지하 393,37.5807945533834,127.088439058456,"0",H,면목제3.8동,127.088094854057,37.5829697185521
"172","2722",상봉역,Sangbong,7호선,"720",상봉역 7호선,서울 중랑구 망우로 297,37.5967137844087,127.085436765164,"1",H,상봉1동,127.087213355959,37.5998477528859
"173","2723",면목역,Myeonmok,7호선,"721",면목역 7호선,서울 중랑구 면목로 지하 407,37.5883848968931,127.087567841531,"0",H,면목본동,127.087488538133,37.5872805191983
"260","1202",상봉역,Sangbong,경의선,K120,상봉역 경의선,서울 중랑구 망우로 297,37.5967137844087,127.085436765164,"1",H,상봉1동,127.087213355959,37.5998477528859
"261","1203",망우역,Mangu,경의선,K121,망우역 경의선,서울 중랑구 망우로55길 11-10,37.5992876153903,127.092756577852,"1",H,상봉1동,127.087213355959,37.5998477528859
"262","1204",양원역,Yangwon,경의선,K122,양원역 경의선,서울 중랑구 송림길 147,37.606554361502,127.107921489043,"0",H,망우본동,127.101496236064,37.6005715426196
"273","1309",상봉역,Sangbong,경춘선,P120,상봉역 경춘선,서울 중랑구 망우로 297,37.5967137844087,127.085436765164,"1",H,상봉1동,127.087213355959,37.5998477528859
"274","1310",망우역,Mangu,경춘선,P121,망우역 경춘선,서울 중랑구 망우로55길 11-10,37.5992876153903,127.092756577852,"1",H,상봉1동,127.087213355959,37.5998477528859
