정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
장한평역,127.0660976191,37.5611308563,"25",용답동,127.055579052769,37.5640758244279
군자교입구,127.0748828032,37.5587645852,"16",군자동,127.075902795588,37.5551446392278
중곡동입구삼거리,127.0849041555,37.5548902929,"16",능동,127.080536887136,37.5537792609562
사가정역,127.0877376515,37.5808204757,"16",면목제3.8동,127.088094854057,37.5829697185521
면목두산아파트2차,127.0848414888,37.5810520374,"16",면목제3.8동,127.088094854057,37.5829697185521
홈플러스면목동점,127.0822020106,37.5812155446,"14",면목5동,127.07948445767,37.5857905325381
장안2동주민센터,127.0704082732,37.5788003907,"14",장안2동,127.070614728747,37.5784584817718
면곡시장,127.0795988366,37.5702740161,"12",중곡3동,127.080208942193,37.5687936902462
방약국앞,127.085779835,37.5757992176,"12",면목4동,127.085626342164,37.5746895999068
면남초등학교,127.0862284697,37.5786709091,"12",면목7동,127.086985272854,37.5790133781011
지하철7호선사가정역,127.0885263319,37.581214688,"11",면목제3.8동,127.088094854057,37.5829697185521
하나은행면목지점,127.0811027289,37.5869337462,"10",면목2동,127.079026745116,37.5897840385122
늘푸른근린공원,127.079666463,37.5831075202,"10",면목5동,127.07948445767,37.5857905325381
면동초등학교,127.0883594934,37.5848547946,"10",면목본동,127.087488538133,37.5872805191983
면목우체국.녹색병원,127.088507,37.582642,"10",면목제3.8동,127.088094854057,37.5829697185521
중곡초등학교,127.0841403377,37.5729382205,"10",면목4동,127.085626342164,37.5746895999068
능동사거리.군자역,127.0785090111,37.5552146998,"10",능동,127.080536887136,37.5537792609562
동답한신동아아파트,127.0642827556,37.5697154664,"9",답십리2동,127.061286310888,37.5673273970964
동아.위더스빌아파트,127.0615576835,37.5661148101,"9",답십리2동,127.061286310888,37.5673273970964
장안동현대아파트앞,127.0684190015,37.5797461738,"9",장안2동,127.070614728747,37.5784584817718
청년회의소.서울새활용플라자,127.0604786789,37.5619517316,"9",용답동,127.055579052769,37.5640758244279
청년회의소,127.0612991303,37.5620313818,"9",장안1동,127.066434700604,37.5678327737798
동서그랜드맨션,127.0786963234,37.5864011319,"8",면목2동,127.079026745116,37.5897840385122
답십리2동한양아파트앞,127.0614082387,37.5727218289,"8",답십리2동,127.061286310888,37.5673273970964
휘경여중고휘경주공아파트,127.0684111199,37.5821565348,"8",장안2동,127.070614728747,37.5784584817718
군자역5번출구.용마초등학교,127.0815389967,37.5561793641,"8",능동,127.080536887136,37.5537792609562
군자역4번출구.용마초등학교,127.08245246,37.5560651252,"8",중곡2동,127.081526307691,37.5602945934407
중곡아파트,127.0772599614,37.5657663783,"8",중곡1동,127.080082528538,37.5606740001451
면중초등학교,127.0933712319,37.5822665534,"8",면목제3.8동,127.088094854057,37.5829697185521
면목동금호어울림아파트,127.091856794,37.5792808003,"8",면목7동,127.086985272854,37.5790133781011
용마폭포공원,127.0886479206,37.5758714821,"8",면목4동,127.085626342164,37.5746895999068
용마산역,127.0864989685,37.5734550466,"8",면목4동,127.085626342164,37.5746895999068
용마산하늘채아파트,127.0860581488,37.5712584642,"8",면목4동,127.085626342164,37.5746895999068
전동초등학교.전농동SK아파트,127.0617053907,37.5780146378,"8",전농2동,127.060022639582,37.5780426774335
동대문구.성동구선거관리위원회,127.0679535572,37.5725764788,"8",장안1동,127.066434700604,37.5678327737798
전곡시장앞,127.0678605824,37.5772246127,"7",장안2동,127.070614728747,37.5784584817718
배봉초등학교.전농우성아파트,127.067301912,37.578622704,"7",전농2동,127.060022639582,37.5780426774335
우리은행장안지점앞,127.0674805629,37.5656655302,"7",장안1동,127.066434700604,37.5678327737798
국민은행장안동지점,127.0733512876,37.5722095968,"7",장안2동,127.070614728747,37.5784584817718
휘경여중고휘경주공아파트앞,127.0682839985,37.5823820434,"6",전농2동,127.060022639582,37.5780426774335
배봉산입구,127.0682877947,37.5801699358,"6",전농2동,127.060022639582,37.5780426774335
면목신우아파트,127.0794972708,37.5802685824,"6",면목5동,127.07948445767,37.5857905325381
군자교,127.0753577739,37.5623409399,"6",중곡1동,127.080082528538,37.5606740001451
송정동건영아파트,127.0713144844,37.5553341818,"6",송정동,127.069573602315,37.5545358599536
용암사입구,127.0860970309,37.5679204735,"6",중곡3동,127.080208942193,37.5687936902462
대원고교앞,127.0868057707,37.563976016,"6",중곡3동,127.080208942193,37.5687936902462
중곡동입구,127.0883528165,37.5548085902,"6",중곡2동,127.081526307691,37.5602945934407
장안교앞,127.0741680481,37.5795275433,"6",장안2동,127.070614728747,37.5784584817718
장안동삼성쉐르빌아파트,127.0711175885,37.5713177133,"6",장안2동,127.070614728747,37.5784584817718
면목시장,127.0876333438,37.579662425,"6",면목7동,127.086985272854,37.5790133781011
사가정시장,127.0895327626,37.5805004062,"6",면목7동,127.086985272854,37.5790133781011
면곡시장앞,127.0832183979,37.5706266296,"6",중곡3동,127.080208942193,37.5687936902462
중곡3동주민센터앞,127.0826285286,37.568496221,"6",중곡3동,127.080208942193,37.5687936902462
중곡역입구,127.0817243015,37.5668589489,"6",중곡3동,127.080208942193,37.5687936902462
중마초등학교.중곡제일골목시장앞,127.0809767205,37.5655045279,"6",중곡3동,127.080208942193,37.5687936902462
중곡2동주민센터앞,127.0809138382,37.5598621784,"6",중곡1동,127.080082528538,37.5606740001451
동답초교.대림아파트,127.0651983369,37.5710897324,"5",답십리2동,127.061286310888,37.5673273970964
동답한신.대림아파트동대문체육관,127.0638358779,37.5726827078,"5",답십리2동,127.061286310888,37.5673273970964
면목5동주민센터,127.0797617013,37.5850646138,"5",면목5동,127.07948445767,37.5857905325381
면목119안전센터,127.0799599656,37.573523412,"5",면목4동,127.085626342164,37.5746895999068
늘푸른동아아파트,127.0801361152,37.5725064385,"5",면목4동,127.085626342164,37.5746895999068
경남아너스빌아파트앞,127.0800063612,37.5747380052,"5",면목4동,127.085626342164,37.5746895999068
장안시장,127.0799310927,37.5853439458,"5",면목5동,127.07948445767,37.5857905325381
중곡동종점,127.0871174379,37.5620783933,"5",중곡2동,127.081526307691,37.5602945934407
군자삼거리,127.0752251933,37.5546784824,"5",군자동,127.075902795588,37.5551446392278
KEB.하나은행.군자동.지점,127.0765174608,37.5571698474,"5",군자동,127.075902795588,37.5551446392278
중곡1동사거리,127.0794125475,37.5626162268,"5",중곡1동,127.080082528538,37.5606740001451
중곡1동주민센터입구,127.0785051723,37.560946104,"5",중곡1동,127.080082528538,37.5606740001451
메리놀외방선교회,127.0775410538,37.5592111642,"5",중곡1동,127.080082528538,37.5606740001451
장안동삼성쉐르빌아파트앞,127.070212473,37.5723233448,"5",장안1동,127.066434700604,37.5678327737798
NH농협장안평지점,127.0719091153,37.5751628182,"5",장안2동,127.070614728747,37.5784584817718
장안동근린공원,127.07218777,37.5781616166,"5",장안2동,127.070614728747,37.5784584817718
어린이대공원앞,127.076933186,37.552074151,"5",능동,127.080536887136,37.5537792609562
능동교회앞,127.077101932,37.5528418978,"5",군자동,127.075902795588,37.5551446392278
답십리촬영소.우성그린아파트,127.0669557023,37.5743481388,"4",답십리2동,127.061286310888,37.5673273970964
풍안시장.동답초교,127.0653513207,37.5710932662,"4",장안1동,127.066434700604,37.5678327737798
군자교남단,127.0725446438,37.5574896497,"4",송정동,127.069573602315,37.5545358599536
면목동대원칸타빌아파트,127.0901284341,37.5775056996,"4",면목7동,127.086985272854,37.5790133781011
신성시장앞,127.0877591991,37.558325025,"4",중곡2동,127.081526307691,37.5602945934407
휘경공고휘경주공아파트,127.0694453988,37.5841838714,"4",휘경2동,127.068623901158,37.5901076942327
장안교은석초등학교,127.074991299,37.5796980282,"4",장안2동,127.070614728747,37.5784584817718
면목두산아파트4.5단지,127.0810217656,37.5785193092,"4",면목7동,127.086985272854,37.5790133781011
파라브아파트,127.0723858865,37.5635785277,"4",장안1동,127.066434700604,37.5678327737798
장한평,127.0671090985,37.5611880779,"4",장안1동,127.066434700604,37.5678327737798
북한연구소앞,127.0660346919,37.5635096956,"4",장안1동,127.066434700604,37.5678327737798
촬영소사거리.동답초등학교,127.0651110833,37.5726604815,"4",답십리2동,127.061286310888,37.5673273970964
중곡보건지소,127.0871445522,37.5596828679,"4",중곡2동,127.081526307691,37.5602945934407
중곡우체국앞,127.0839380816,37.5614341717,"4",중곡2동,127.081526307691,37.5602945934407
국립서울병원앞,127.0832710471,37.5639183589,"4",중곡2동,127.081526307691,37.5602945934407
중곡역,127.0844445511,37.5660809458,"4",중곡3동,127.080208942193,37.5687936902462
용곡삼거리,127.0854962983,37.5679664367,"4",중곡3동,127.080208942193,37.5687936902462
우리들약국,127.0903032993,37.5569174442,"4",중곡4동,127.089447499249,37.5590779184973
하나약국,127.0911365713,37.5563197422,"4",중곡4동,127.089447499249,37.5590779184973
소망슈퍼,127.0931520678,37.5548961701,"4",중곡4동,127.089447499249,37.5590779184973
면목5동,127.075880031,37.5857367126,"3",면목5동,127.07948445767,37.5857905325381
촬영소사거리.우성그린아파트,127.0668086466,37.5735435197,"3",장안2동,127.070614728747,37.5784584817718
세종초등학교.세종사이버대학교앞,127.0732517227,37.5534111107,"3",군자동,127.075902795588,37.5551446392278
세종초교앞,127.0742166138,37.553820391,"3",군자동,127.075902795588,37.5551446392278
세진약국앞,127.0759998268,37.5561716863,"3",군자동,127.075902795588,37.5551446392278
한양수자인사가정파크,127.0925731251,37.5798573408,"3",면목7동,127.086985272854,37.5790133781011
동곡삼거리,127.0781645923,37.5635920634,"3",중곡1동,127.080082528538,37.5606740001451
한국산업인력공단서울지역본부,127.0729633081,37.5838702734,"3",휘경2동,127.068623901158,37.5901076942327
장안현대홈타운앞,127.0758201401,37.569556142,"3",장안1동,127.066434700604,37.5678327737798
구민회관앞,127.0740850494,37.5665633665,"3",장안1동,127.066434700604,37.5678327737798
장안사거리,127.0704834921,37.5724069886,"3",장안1동,127.066434700604,37.5678327737798
촬영소사거리.세양청마루아파트앞,127.0654442145,37.572744607,"3",답십리2동,127.061286310888,37.5673273970964
한양아파트.청솔우성아파트후문,127.058754743,37.5728729552,"3",답십리2동,127.061286310888,37.5673273970964
현대벤처빌,127.0690898711,37.5681874548,"3",장안2동,127.070614728747,37.5784584817718
경남호텔앞,127.0700076998,37.569609597,"3",장안2동,127.070614728747,37.5784584817718
새서울병원,127.071773474,37.5731119909,"3",장안2동,127.070614728747,37.5784584817718
현대벤처빌.현대썬앤빌,127.0694143748,37.5689152374,"3",장안1동,127.066434700604,37.5678327737798
중곡동성당앞,127.08273817,37.5629278921,"3",중곡2동,127.081526307691,37.5602945934407
용마사거리,127.0819134021,37.5623685767,"3",중곡1동,127.080082528538,37.5606740001451
신성시장,127.0878522092,37.5584231691,"2",중곡4동,127.089447499249,37.5590779184973
휘경공고.휘경주공아파트,127.0701077172,37.5845545536,"2",휘경2동,127.068623901158,37.5901076942327
면목마젤란아파트,127.0837635406,37.5868182773,"2",면목5동,127.07948445767,37.5857905325381
녹색병원입구,127.0833785498,37.5849023747,"2",면목5동,127.07948445767,37.5857905325381
면목두산아파트1차,127.0835638485,37.5818129274,"2",면목5동,127.07948445767,37.5857905325381
면목두산아파트2.3단지,127.0826681615,37.5798189174,"2",면목7동,127.086985272854,37.5790133781011
동부아동상담소,127.0763668617,37.576832308,"2",장안2동,127.070614728747,37.5784584817718
장안삼성래미안2차아파트,127.076592,37.574947,"2",장안2동,127.070614728747,37.5784584817718
장안삼성래미안2차아파트.성복교회,127.0768292632,37.573045234,"2",장안2동,127.070614728747,37.5784584817718
장안치안센터,127.0727606181,37.5685042341,"2",장안2동,127.070614728747,37.5784584817718
청년회의소앞,127.0615051151,37.5620014137,"2",장안1동,127.066434700604,37.5678327737798
코리아병원,127.0716207831,37.573209246,"2",장안2동,127.070614728747,37.5784584817718
용마산교차로,127.0925225918,37.5805885342,"2",면목7동,127.086985272854,37.5790133781011
중앙상회앞,127.0948013601,37.5601559483,"2",중곡4동,127.089447499249,37.5590779184973
중곡4동경로당입구앞,127.0939576264,37.5591360737,"2",중곡4동,127.089447499249,37.5590779184973
대명슈퍼앞,127.0930293718,37.5589265981,"2",중곡4동,127.089447499249,37.5590779184973
벨마트앞,127.0917033096,37.5586971831,"2",중곡4동,127.089447499249,37.5590779184973
강원설비앞,127.0901363151,37.5590045613,"2",중곡4동,127.089447499249,37.5590779184973
긴고랑입구,127.0886714823,37.5589021611,"2",중곡4동,127.089447499249,37.5590779184973
신성시장입구,127.0880142744,37.5585311657,"2",중곡4동,127.089447499249,37.5590779184973
군자역먹자골목사거리,127.0775790025,37.5560618233,"1",군자동,127.075902795588,37.5551446392278
군자동주민센터앞,127.0761743393,37.5548765159,"1",군자동,127.075902795588,37.5551446392278
장평중학교앞,127.0703696546,37.5648645467,"1",장안1동,127.066434700604,37.5678327737798
래미안장안1차아파트앞,127.0717625351,37.5665762833,"1",장안1동,127.066434700604,37.5678327737798
장안현대홈타운상가,127.0742209249,37.571115322,"1",장안1동,127.066434700604,37.5678327737798
장안현대홈타운아파트앞,127.0733412775,37.5697761184,"1",장안2동,127.070614728747,37.5784584817718
장평중학교,127.0708999315,37.5657672239,"1",장안1동,127.066434700604,37.5678327737798
용마산빌라,127.0842158562,37.5712020529,"1",중곡3동,127.080208942193,37.5687936902462
중곡동성당,127.0826023266,37.5629378497,"1",중곡1동,127.080082528538,37.5606740001451
긴고랑종점,127.096058,37.562159,"1",중곡4동,127.089447499249,37.5590779184973
긴고랑주차장,127.0955418801,37.5606772464,"1",중곡4동,127.089447499249,37.5590779184973
찬양교회,127.0875671792,37.5540987456,"1",중곡2동,127.081526307691,37.5602945934407
용마초등학교,127.0817148283,37.5563479303,"1",중곡2동,127.081526307691,37.5602945934407
군자역,127.0799407203,37.5579211693,"1",중곡2동,127.081526307691,37.5602945934407
중곡119안전센터,127.0863009207,37.5667630683,"1",중곡3동,127.080208942193,37.5687936902462
구.새마을금고앞,127.0872203477,37.5614468159,"1",중곡2동,127.081526307691,37.5602945934407
마을금고.브레드제과점,127.0892720532,37.5576560412,"1",중곡4동,127.089447499249,37.5590779184973
마을금고앞,127.0893526987,37.5576958341,"1",중곡4동,127.089447499249,37.5590779184973
대순진리회앞.구.새마을금고,127.0874300416,37.5609405817,"1",중곡4동,127.089447499249,37.5590779184973
대원외고앞,127.0870517362,37.5632355794,"1",중곡4동,127.089447499249,37.5590779184973
중곡4동파출소,127.086685053,37.565408733,"1",중곡4동,127.089447499249,37.5590779184973
중곡아파트.기점,127.0781417284,37.5670255814,"1",중곡3동,127.080208942193,37.5687936902462
기업은행.용마사거리,127.0814700959,37.5625158662,"1",중곡1동,127.080082528538,37.5606740001451
종로약국앞,127.0879979441,37.557576328,"1",중곡4동,127.089447499249,37.5590779184973
중곡아파트.종점,127.077803378,37.5664182737,"1",중곡3동,127.080208942193,37.5687936902462
가든아파트.수사연구소,127.0723809293,37.5845407432,"1",휘경2동,127.068623901158,37.5901076942327
동일하이빌.현대베스트빌아파트,127.0740610673,37.582506036,"1",휘경2동,127.068623901158,37.5901076942327
휘경여중고.휘경주공아파트,127.0684104756,37.5824543958,"1",전농2동,127.060022639582,37.5780426774335
동대부고.은석초교앞,127.0729735028,37.5790083717,"1",장안2동,127.070614728747,37.5784584817718
