정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
대일외고서경대정문,127.0131908925,37.6129217648,"2",정릉4동,127.00699953542,37.6133765955324
월곡샹그레빌아파트,127.0407965137,37.595480612,"2",월곡2동,127.047886454934,37.6057915694944
제기동한신아파트,127.0373626297,37.5866105168,"2",제기동,127.037818414722,37.5831154639952
개운사입구,127.0293967464,37.58582831,"2",안암동,127.021362226117,37.5858333806287
8번지입구,127.0378623074,37.6137607716,"2",송중동,127.033793824171,37.6161289893513
양지빌라,127.0380219999,37.6150510498,"2",송중동,127.033793824171,37.6161289893513
꿈의숲해링턴아파트105동앞,127.0332567789,37.6187106157,"2",송중동,127.033793824171,37.6161289893513
꿈의숲해링턴아파트108동앞,127.0339622827,37.6166130305,"2",송중동,127.033793824171,37.6161289893513
현대백화점.E마트.빅토리아호텔,127.0303895711,37.6101863099,"2",송중동,127.033793824171,37.6161289893513
한신113동앞,127.0085319579,37.5943480695,"2",성북동,127.003279061117,37.5910502132448
구민회관201동앞,127.009234,37.59559,"2",돈암2동,127.01058094036,37.5980162520587
한진207동앞,127.0105275079,37.596351596,"2",돈암2동,127.01058094036,37.5980162520587
한신108동앞,127.0097195427,37.5939294529,"2",돈암2동,127.01058094036,37.5980162520587
한신105동앞,127.008891263,37.5925579825,"2",돈암2동,127.01058094036,37.5980162520587
한신103동앞,127.0082743749,37.5921869522,"2",돈암2동,127.01058094036,37.5980162520587
녹십자약국,127.0092237447,37.5897138755,"2",삼선동,127.01467420945,37.5908367124693
홈마트,127.0200756444,37.5893166327,"2",안암동,127.021362226117,37.5858333806287
안암초교,127.0234283859,37.5869314836,"2",안암동,127.021362226117,37.5858333806287
고대병원,127.02716352,37.5861588723,"2",안암동,127.021362226117,37.5858333806287
중앙하이츠정문,127.0109107122,37.6026707217,"2",정릉2동,127.011148093004,37.6044745007088
중앙하이츠후문,127.0094754106,37.6034047468,"2",정릉2동,127.011148093004,37.6044745007088
정수초교,127.0087128442,37.6042885945,"2",정릉2동,127.011148093004,37.6044745007088
그린빌라,127.0082054457,37.6038821881,"2",정릉2동,127.011148093004,37.6044745007088
정든마을,127.00732,37.609415,"2",정릉3동,127.00418588228,37.6089582782412
수보약국,127.0078481164,37.6086927963,"2",정릉3동,127.00418588228,37.6089582782412
길음역출구,127.0244099453,37.6021161286,"2",길음1동,127.019502782008,37.6103983239234
신안APT.길음초등학교,127.01646,37.614102,"2",길음1동,127.019502782008,37.6103983239234
대우APT211동,127.0168111852,37.61295376,"2",길음1동,127.019502782008,37.6103983239234
대우APT정문.대림APT후문,127.0176782754,37.6119803839,"2",길음1동,127.019502782008,37.6103983239234
길음전철역,127.0244781378,37.6040863088,"2",길음1동,127.019502782008,37.6103983239234
래미안610동앞,127.0222388759,37.6055425728,"2",길음1동,127.019502782008,37.6103983239234
래미안609동앞,127.0218264822,37.6065358061,"2",길음1동,127.019502782008,37.6103983239234
래미안501동앞,127.0206718613,37.608688594,"2",길음1동,127.019502782008,37.6103983239234
길음1동주민센터.길음중앙새마을금고앞,127.0198021041,37.6099491518,"2",길음1동,127.019502782008,37.6103983239234
대우APT정문.대림APT후문앞,127.0176418276,37.6122787391,"2",길음1동,127.019502782008,37.6103983239234
대우APT211동앞,127.0168475394,37.6130268349,"2",길음1동,127.019502782008,37.6103983239234
두산아파트후문,127.0403773164,37.6059432979,"2",월곡2동,127.047886454934,37.6057915694944
경남아너스빌정문,127.0343615962,37.6130464866,"2",송중동,127.033793824171,37.6161289893513
생명의전화로터리,127.0378041515,37.6038808662,"2",월곡2동,127.047886454934,37.6057915694944
월곡시장.동덕여대오거리,127.0426687904,37.6041718432,"2",월곡2동,127.047886454934,37.6057915694944
동덕여대부속유치원앞,127.0453973712,37.6061943161,"2",월곡2동,127.047886454934,37.6057915694944
동아아파트정문앞,127.0461004079,37.6068995239,"2",월곡2동,127.047886454934,37.6057915694944
월곡중학교입구,127.0470940841,37.6076246562,"2",월곡2동,127.047886454934,37.6057915694944
나약국,127.0414490129,37.6143145571,"2",장위1동,127.043737294008,37.6140462415576
고려슈퍼,127.027734564,37.5986529826,"2",종암동,127.035212918853,37.5990602270364
삼성래미안2차APT,127.029295215,37.5990469862,"2",종암동,127.035212918853,37.5990602270364
성북노인정입구,127.0327758847,37.5978918664,"2",종암동,127.035212918853,37.5990602270364
세레네티.래미안,127.0294144702,37.5990565132,"2",종암동,127.035212918853,37.5990602270364
양광교회.죽림정사앞,127.0293680009,37.5995709964,"2",종암동,127.035212918853,37.5990602270364
고려대역3번출구,127.0364057011,37.5904817435,"2",제기동,127.037818414722,37.5831154639952
고려대법과대학입구,127.0330254395,37.5913432764,"2",종암동,127.035212918853,37.5990602270364
고려대안암학사,127.0305960247,37.5912416325,"2",안암동,127.021362226117,37.5858333806287
고려대아이스링크,127.0278120945,37.5929943865,"2",안암동,127.021362226117,37.5858333806287
성북구의회,127.0264506182,37.5945492086,"2",안암동,127.021362226117,37.5858333806287
개운중학교,127.0248907301,37.5941666526,"2",돈암1동,127.026386316288,37.6034197210099
풍림아파트.성신초교,127.0234489548,37.5951255416,"2",동선동,127.020422471545,37.5939965377109
고명중고교,127.0202793485,37.5985379872,"2",돈암1동,127.026386316288,37.6034197210099
우성APT정문,127.0152020218,37.6005835135,"2",정릉1동,127.016655780772,37.6014465243128
종암중학교,127.0348732051,37.5932897753,"2",종암동,127.035212918853,37.5990602270364
선경아파트,127.0344722431,37.5943773571,"2",종암동,127.035212918853,37.5990602270364
극동아파트정문,127.0343717911,37.5954237759,"2",종암동,127.035212918853,37.5990602270364
극동아파트후문,127.0335149865,37.5960430546,"2",종암동,127.035212918853,37.5990602270364
종암아이파크2차정문,127.0326200918,37.5969024606,"2",종암동,127.035212918853,37.5990602270364
현대홈마트,127.0329873748,37.5977457704,"2",종암동,127.035212918853,37.5990602270364
개운초등학교,127.0287769924,37.6013637687,"2",종암동,127.035212918853,37.5990602270364
종암래미안,127.0297617173,37.6017962657,"2",종암동,127.035212918853,37.5990602270364
성북소방서,127.0309588034,37.6026150736,"2",종암동,127.035212918853,37.5990602270364
아리랑시장,127.0113713292,37.6024229671,"2",정릉2동,127.011148093004,37.6044745007088
정릉꿈에그린아파트,127.0113455978,37.6016021558,"2",정릉2동,127.011148093004,37.6044745007088
일신휴먼빌.우정아파트,127.0111685963,37.6000942382,"2",정릉2동,127.011148093004,37.6044745007088
돈암코오롱하늘채아파트,127.0112890964,37.5989738537,"2",정릉2동,127.011148093004,37.6044745007088
돈암지구대.현대아파트,127.0126764676,37.5968797492,"2",돈암2동,127.01058094036,37.5980162520587
송중동주민센터앞,127.033446797,37.6160637895,"1",송중동,127.033793824171,37.6161289893513
구민회관입구,127.0062853399,37.5965909892,"1",성북동,127.003279061117,37.5910502132448
교수단지,127.0092797165,37.5994696594,"1",정릉2동,127.011148093004,37.6044745007088
성북참노인전문병원,127.0057105198,37.5976105179,"1",정릉2동,127.011148093004,37.6044745007088
숭곡초교후문,127.0328803629,37.6092867313,"1",월곡1동,127.035775560243,37.6105530868712
월곡아남아파트,127.0345078006,37.6064757542,"1",월곡1동,127.035775560243,37.6105530868712
월곡동신아파트,127.0360628034,37.6045535336,"1",월곡1동,127.035775560243,37.6105530868712
대농빌라앞,127.0433257276,37.6018387668,"1",월곡2동,127.047886454934,37.6057915694944
월곡2SH빌아파트,127.042078554,37.5972359828,"1",월곡2동,127.047886454934,37.6057915694944
신종월교,127.0412654657,37.5975815105,"1",월곡2동,127.047886454934,37.6057915694944
월곡래미안루나밸리,127.0411526517,37.5999329183,"1",월곡2동,127.047886454934,37.6057915694944
8번지슈퍼,127.038032244,37.6158503874,"1",송중동,127.033793824171,37.6161289893513
삼우하이츠빌라,127.0371919371,37.6160925583,"1",송중동,127.033793824171,37.6161289893513
한일아파트후문,127.0371400005,37.6154856509,"1",송중동,127.033793824171,37.6161289893513
장미맨션,127.0371286153,37.6147442136,"1",송중동,127.033793824171,37.6161289893513
한일아파트정문,127.0371149982,37.6139772435,"1",송중동,127.033793824171,37.6161289893513
