경도,위도
127.064935860593,37.5598048304319
127.06270221678001,37.5604349335406
127.066163196985,37.5590518166372
127.08026103271601,37.5540425401047
127.081895723228,37.5638046197395
127.085768447545,37.56040691557
127.066938024439,37.5636122246136
127.06865715281799,37.562202079140704
127.06826622736601,37.5654386841691
127.066623049632,37.5657964172497
127.084590891276,37.569996163469895
127.092161526835,37.55907763317771
127.08970528225599,37.56829671500021
127.089292374221,37.5741913369513
127.083439497938,37.5748929885886
127.070600960021,37.5782638753114
127.07183915105101,37.5767701810924
127.06353827975799,37.5693588525049
127.05888773980699,37.5687053391359
127.070708137628,37.5814641408989
127.070600963424,37.578267479285294
127.085400011552,37.5747546354536
127.081026325605,37.5751793838044
127.084248602925,37.5776458522331
127.081401327213,37.579613818542796
127.087665326379,37.583557485837495
127.093639655939,37.5807886504695
127.080177948333,37.583172678933
127.076806497382,37.5843723406076
