field_1,Unnamed: 0,구명,단지명,주택유형,세대수,입주개시일,주소,우편번호,전화번호,경도,위도,H/B,행정동,행정동_경도,행정동_위도
"218","218",동대문구,한양수자인 사가정파크(면목1),행복(재건축),"497",2019/12/16,중랑구 사가정로72길 26(면목동 520-19),"2260",,37.5800711747193,127.093430676323,H,면목7동,127.086985272854,37.5790133781011
"543","543",중랑구,신내12,영구임대,"1000",1995/11/28,봉화산로 153 (상봉동 신내12단지신내아파트),"2044",,37.6058186173408,127.091609767692,H,상봉1동,127.087213355959,37.5998477528859
"544","544",중랑구,신내10,영구공공,"1432",1996/03/15,신내로 115 (신내동 신내10단지아파트),"2043",,37.6092975270629,127.094904201668,H,신내2동,127.094178921329,37.6062466374476
"548","548",중랑구,신내데시앙,국민장기,"1326",2010/01/10,용마산로 669 (신내동 신내데시앙아파트),"2053",,37.6097690028367,127.098976905071,H,신내1동,127.09936528756,37.6058747809943
"551","551",중랑구,현대프레미어스엠코(상봉8),재개발,"497",2014/04/15,망우로 353 (상봉동 상봉 프레미어스 엠코),"2087",,37.5983328190955,127.091624142481,H,상봉1동,127.087213355959,37.5998477528859
