field_1,Unnamed: 0,구명,단지명,주택유형,세대수,입주개시일,주소,우편번호,전화번호,경도,위도,H/B,행정동,행정동_경도,행정동_위도
"187","187",동대문구,답십리동아(답십리8),재개발,"492",1999/09/01,한천로11길 10 (답십리동 동아아파트),"2612",,37.5686194800469,127.061005631478,H,답십리2동,127.061286310888,37.5673273970964
"198","198",동대문구,답십리대림(답십리10),재개발,"275",2002/12/03,답십리로60길 38 (답십리동 대림아파트),"2609",,37.5710580003863,127.063777776392,H,답십리2동,127.061286310888,37.5673273970964
"202","202",동대문구,답십리래미안,재개발,"52",2009/05/25,한천로33길 11 (답십리동 래미안엘파인아파트),"2535",,37.5756742674357,127.066994327968,H,답십리2동,127.061286310888,37.5673273970964
"207","207",동대문구,일성트루엘,재건축,"116",2011/07/08,천호대로83길 71-7 (장안동 일성트루엘아파트),"2629",,37.5654420441831,127.065353778228,H,장안1동,127.066434700604,37.5678327737798
"218","218",동대문구,한양수자인 사가정파크(면목1),행복(재건축),"497",2019/12/16,중랑구 사가정로72길 26(면목동 520-19),"2260",,37.5800711747193,127.093430676323,H,면목7동,127.086985272854,37.5790133781011
"542","542",중랑구,면목,영구임대,"905",1991/09/30,용마산로 228 (면목동 도시개발아파트),"2257",,37.5741674853751,127.088301152119,H,면목4동,127.085626342164,37.5746895999068
"553","553",중랑구,면목2코오롱하늘채,재건축,"265",2015/04/03,용마산로 210 (면목동 용마산 하늘채),"2256",,37.5718558136838,127.087074184814,H,면목4동,127.085626342164,37.5746895999068
