분류,시설명,행정동
간이운동장,잿말공원,양재1동
간이운동장,점말공원,잠원동
간이운동장,정문공원,서초3동
간이운동장,주민센터,염창동
간이운동장,주민센터,염창동
간이운동장,주민센터,발산제1동
간이운동장,주민센터,염창동
간이운동장,주민센터,화곡제1동
간이운동장,주민센터,등촌제1동
간이운동장,주민센터,홍제제1동
간이운동장,주민센터,등촌제1동
간이운동장,주민센터,염창동
간이운동장,주민센터,등촌제1동
간이운동장,주민센터,화곡제1동
간이운동장,주민센터,화곡제1동
간이운동장,주민센터,화곡제1동
간이운동장,주민센터,화곡제1동
간이운동장,주민센터,화곡제1동
간이운동장,주민센터,화곡제1동
간이운동장,주흥공원,잠원동
간이운동장,청담공원,혜화동
간이운동장,청두공원,서초3동
간이운동장,청룡공원,반포본동
간이운동장,청룡공원,혜화동
간이운동장,청수공원,혜화동
간이운동장,체육공원,면목제2동
간이운동장,체육공원,면목제2동
간이운동장,체육공원,중화제1동
간이운동장,초룡공원,반포본동
간이운동장,코아공원,잠원동
간이운동장,탄천공원,이화동
간이운동장,푸른공원,반포본동
간이운동장,학동공원,혜화동
간이운동장,학동공원,논현1동
간이운동장,한강타운,염창동
간이운동장,한솔공원,종로1·2·3·4가동
간이운동장,한수공원,반포본동
간이운동장,한티공원,이화동
간이운동장,햇불공원,양재1동
간이운동장,현대성우,서초1동
간이운동장,황실자이,서초3동
간이운동장,효자공원,양재1동
간이운동장,상수쉼터,서강동
간이운동장,상암교회 옆 체육시설,상암동
간이운동장,시흥계곡 주변,시흥제1동
간이운동장,이대녹지 쉼터,용강동
간이운동장,노고산동 체육시설,합정동
간이운동장,석우마을 체육시설,혜화동
간이운동장,정릉천변 마을마당,정릉제1동
간이운동장,창동마을 체육시설,혜화동
간이운동장,청양마을 체육시설,종로1·2·3·4가동
기타시설,삼일공원 청소년농구장,사당제1동
축구장,가양축구장,염창동
간이운동장,강나루현대,염창동
간이운동장,강변오솔길,청담동
간이운동장,개포동공원,개포1동
간이운동장,개포서공원,종로1·2·3·4가동
간이운동장,게이트볼장,신당동
간이운동장,경남아파트,공항동
간이운동장,공덕소공원,아현동
간이운동장,금천정일대,독산제1동
간이운동장,남태령공원,서초3동
간이운동장,너른골공원,서초3동
간이운동장,늘푸른공원,혜화동
간이운동장,늘푸른공원,필동
간이운동장,늘푸른공원,잠원동
간이운동장,다솜소공원,역삼1동
간이운동장,대동황토방,등촌제1동
간이운동장,두둑재공원,양재1동
승마장,뚝섬승마장,성수1가제1동
간이운동장,마산말공원,서초1동
간이운동장,만남의광장,도봉제1동
간이운동장,만수천공원,독산제1동
야구장,목동야구장,목1동
체육관,미성체육관,서원동
간이운동장,바우뫼공원,양재1동
간이운동장,발바닥공원,방학제1동
간이운동장,방배래미안,서초3동
간이운동장,방배어울림,서초3동
간이운동장,방화신동아,공항동
간이운동장,배드민턴장,남가좌제1동
간이운동장,법원밑쉼터,아현동
간이운동장,본마을공원,내곡동
간이운동장,분토골공원,서초1동
간이운동장,불암산공원,중계본동
간이운동장,불암산공원,중계본동
간이운동장,불암산공원,중계본동
간이운동장,불암산공원,중계본동
간이운동장,불암산공원,중계본동
간이운동장,불암산공원,중계본동
간이운동장,불암산공원,중계본동
간이운동장,사도감공원,서초1동
간이운동장,사평리공원,잠원동
간이운동장,삼풍아파트,서초1동
간이운동장,삼호아파트,서초3동
간이운동장,상명달공원,서초1동
간이운동장,새쟁이공원,내곡동
간이운동장,샘터구기장,고덕제1동
간이운동장,서초래미안,서초1동
체육관,선우체육관,서원동
간이운동장,수락산공원,상계1동
간이운동장,수락산공원,상계1동
간이운동장,수락산공원,상계1동
간이운동장,수서오솔길,일원본동
간이운동장,순흥약수터,시흥제1동
간이운동장,쉼표소공원,세곡동
간이운동장,식유촌공원,양재1동
간이운동장,싸리재공원,잠원동
간이운동장,아랫샘공원,내곡동
간이운동장,언구비공원,반포본동
간이운동장,요셉의집앞,방학제1동
간이운동장,용강소공원,용강동
야구장,잠실야구장,잠실본동
간이운동장,하명달공원,서초1동
간이운동장,한마음공원,혜화동
간이운동장,한화아파트,서초3동
간이운동장,해맞이동산,청운효자동
간이운동장,현대슈퍼빌,서초1동
간이운동장,현대아파트,서초1동
간이운동장,현대아파트,서초1동
간이운동장,현석소공원,신수동
간이운동장,호암체련단,시흥제1동
기타시설,홍제농구장,홍제제1동
축구장,효창운동장,효창동
간이운동장,후암약수터,후암동
간이운동장,세양청마루 옆,대흥동
간이운동장,양재시민의 숲,양재1동
간이운동장,망원유수지 옆 체육시설,망원제1동
간이운동장,망원유수지 위 체육시설,망원제1동
간이운동장,쌍용아파트 앞_북단,대치1동
간이운동장,간이운동장 테스트,방이1동
간이운동장,경복아파트 소공원,논현1동
간이운동장,양재초교앞 농구장,양재1동
간이운동장,자양유수지 산책로,자양제1동
간이운동장,망원유수지 체육시설,망원제1동
간이운동장,연가교우안 하류상단 간이운동장,남가좌제1동
간이운동장,연가교우안 하류하단 간이운동장,남가좌제1동
간이운동장,만리배수지 게이트볼장,아현동
간이운동장,중랑천제방 도봉구청앞,방학제1동
간이운동장,오류고가하 부게이트볼장,오류1동
간이운동장,구일역하부 인라인스케이트장,구로제1동
간이운동장,오금교하부 인라인스케이트장,신도림동
간이운동장,간이운동장(음식물처리장),도봉제1동
간이운동장,가양동신대아,염창동
간이운동장,갈현근린공원,진관동
테니스장,강동테니스장,강일동
간이운동장,개포근린공원,개포1동
간이운동장,개포까치공원,개포1동
간이운동장,개포목련공원,혜화동
간이운동장,구룡근린공원,상암동
테니스장,구립테니스장,공항동
테니스장,구민테니스장,보라매동
체육관,국사봉체육관,보라매동
간이운동장,길섶근린공원,역삼1동
간이운동장,남서울약수터,시흥제1동
간이운동장,논현까치공원,종로1·2·3·4가동
간이운동장,논현목련공원,혜화동
간이운동장,논현목련공원,종로1·2·3·4가동
간이운동장,늘벗근린공원,대치1동
간이운동장,달터근린공원,개포1동
간이운동장,대진근린공원,개포1동
간이운동장,대청근린공원,개포2동
간이운동장,대치근린공원,대치1동
간이운동장,대치까치공원,대치1동
간이운동장,대치목련공원,대치1동
간이운동장,도곡근린공원,도곡1동
간이운동장,도곡까치공원,도곡1동
간이운동장,도곡까치공원,대치1동
간이운동장,도곡목련공원,도곡1동
간이운동장,도산근린공원,신사제1동
간이운동장,도성근린공원,역삼1동
간이운동장,독골근린공원,도곡1동
간이운동장,두산마을마당,서강동
간이운동장,등촌아이파크,등촌제1동
간이운동장,롯데캐슬헤론,서초3동
테니스장,마장테니스장,마장동
간이운동장,만리재소공원,공덕동
간이운동장,말뫼마을마당,독산제1동
간이운동장,매봉근린공원,도곡1동
간이운동장,명달근린공원,서초1동
간이운동장,명주근린공원,잠원동
육상경기장,목동주경기장,목1동
간이운동장,목마근린공원,목1동
간이운동장,무지개아파트,서초1동
간이운동장,반달근린공원,삼성1동
간이운동장,밤섬문화공원,신수동
간이운동장,방배근린공원,서초3동
간이운동장,방배브라운가,서초3동
간이운동장,방학사계광장,방학제1동
간이운동장,배꽃근린공원,삼성1동
간이운동장,배밭근린공원,개포1동
간이운동장,백련근린공원,응암제1동
간이운동장,벽운근린공원,상계1동
간이운동장,보은근린공원,역삼1동
간이운동장,복자기소공원,대흥동
