,주차장id,주차장이름,주소,경도,위도
114,104568659,훈련원공원 노상공영주차장,서울 중구 을지로6가 18-200,127.004994023964,37.5676639532385
115,20577471,노상공영주차장,서울 중구 방산동 4-10,127.00223218220093,37.5689749864705
116,89873473,국립의료원옆 공영주차장,서울 중구 을지로6가 18-224,127.006094179934,37.5668205694691
117,26879266,동대문공영주차장,서울 중구 신당동 204-25,127.01111550846252,37.56813385536558
118,612972930,창신소담공영주차장 (2022년예정),서울 종로구 창신동 641-1,127.01020868975,37.5753545123801
119,1621192080,청계3노상공영주차장,서울 중구 주교동 51-3,126.998873722812,37.5688849026424
122,1264052981,청계6가 노상공영주차장,서울 종로구 창신동 436-88,127.01359249770746,37.56998424103908
123,20587427,창일공영주차장,서울 종로구 창신동 82,127.015083134028,37.5748710570969
124,1880896713,청계7가 노상공영주차장,서울 종로구 창신동 436-86,127.016806165627,37.5702153831086
125,26887648,성동공업고등학교 공영주차장,서울 중구 흥인동 1-1,127.01693136109472,37.56821966012447
126,26887645,청계8가 노상공영주차장,서울 중구 흥인동 162-1,127.01661703133243,37.5697766251172
127,942214726,동묘공영주차장,서울 종로구 숭인동 227-8,127.01879127008,37.5733352299771
128,26896066,황학어린이공원 공영주차장,서울 중구 황학동 755,127.01820457914759,37.56739956453522
129,53302635,청계6가 공영주차장,서울 중구 신당동 217-120,127.01345884905297,37.569549976545154
130,204761769,노상공영주차장,서울 종로구 숭인동 234-88,127.01976887965,37.571662823555
131,353478781,청계7노상공영주차장,서울 종로구 숭인동 233-8,127.020135729091,37.5719907237798
133,26879270,남평화시장앞공영주차장,서울 중구 신당동 779,127.01149822517277,37.56895282374564
134,20518514,신당사거리 공영주차장,서울 중구 신당동 110-1,127.017000811976,37.5650139066383
135,12415815,신설동공영주차장,서울 동대문구 신설동 114-29,127.024297068914,37.5725053098388
136,20518515,신당역공영주차장,서울 중구 신당동 140-29,127.02074964766,37.5652115264453
137,304900953,창삼주차장,서울 종로구 창신동 23-346,127.01253518657839,37.57634087726474
139,20514149,낙산공영주차장,서울 종로구 창신동 23-343,127.01211309098,37.5773221041976
147,1087424330,숭인기계공영주차장,서울 종로구 숭인동 55-2,127.01563165381,37.5778298514755
158,995121796,숭인도담 공영주차장,서울 종로구 숭인동 471,127.021572941056,37.5784262743626
192,20589356,청계8가노상공영주차장,서울 동대문구 신설동 109-2,127.02570372227083,37.571305787467715
195,27069400,청계노상공영주차장,서울 동대문구 신설동 94-4,127.02782363553195,37.573614557097216
196,19163302,성북천제방 공영노상주차장,서울 동대문구 용두동 239-1,127.028382775693,37.5764075073233
214,20516027,명륜1가주차장,서울 종로구 명륜1가 5-14,126.997703778859,37.590156452129
215,1147245809,선비재공영주차장,서울 종로구 명륜1가 7-32,126.996607813702,37.588801333094
216,195096507,명륜국제주차장,서울 종로구 명륜1가 7-69,126.996684735418,37.5903906859081
217,20516029,명륜3가공영주차장 거주자우선주차,서울 종로구 명륜3가 1-271,126.994098756591,37.5890138685563
218,996847645,삼선동 공영주차장 (2021년예정),서울 성북구 삼선동1가 278-6,127.007436128069,37.584641263578
220,1143432063,성북동길공영주차장,서울 성북구 성북동 230-20,126.993860503511,37.5948856216509
221,1272450994,경동고 공영주차장,서울 성북구 삼선동3가 43-1,127.01469377498348,37.586689441373416
222,1007242564,성북동길 노상공영주차장,서울 성북구 성북동 237-3,126.993876360348,37.5948342659527
229,26964400,서소문삼성생명 뒤 공영주차장,서울 중구 서소문동 122,126.974216922303,37.5617939562034
230,25612170,해운센터빌딩앞 노상공영주차장,서울 중구 소공동 59,126.98072232728319,37.56315750441847
231,26879166,한국은행 뒤 노상공영주차장,서울 중구 북창동 93-1,126.97908919394901,37.56270492622773
232,814067218,조선호텔 앞 공영주차장,서울 중구 소공동 87-3,126.979944548662,37.563894389911
234,26864726,서소문올리브타워 옆 노상공영주차장,서울 중구 서소문동 135-1,126.97266412734017,37.56158817965497
235,20582968,중구공영주차장,서울 중구 순화동 77,126.971604978617,37.5609536279839
236,1076650730,서울시청 본청사 주차장,서울 중구 태평로1가 31,126.97864772708567,37.56683861779011
237,20591886,중구공영주차장,서울 중구 태평로1가 82,126.978335084658,37.5676548630479
238,20582967,중구공영주차장,서울 중구 다동 39-2,126.979910519252,37.568383146174
239,26535689,동국제강공영주차장,서울 중구 삼각동 111-1,126.98344236340459,37.56736737115418
240,849835289,코오롱빌딩옆 노상공영주차장,서울 중구 태평로1가 82,126.978443755034,37.5676332590415
241,25620399,한국관광공사옆 노상공영주차장,서울 중구 다동 85-3,126.98207028145377,37.56821140376288
