,사업장명,위도,경도,ADDRESS
103,독산현대아파트경로당,37.46745692,126.89500579999999,독산동
104,말미경로당,37.46748696,126.8944386,독산동
105,금천롯데캐슬골드파크1차아파트경로당,37.46814325,126.89939299999999,독산동
106,독산삼익아파트경뢍,37.46814325,126.89939299999999,독산동
107,각산아파트경로당,37.46814325,126.89939299999999,독산동
108,각산아파트경로당,37.46814325,126.89939299999999,독산동
109,세일경로당,37.46814325,126.89939299999999,독산동
110,진도3차아파트경로당,37.46834324,126.8932923,독산동
111,서초구립우면동경로당,37.46941699,127.0254957,우면동
112,정심경로당,37.46946785,126.9015649,독산동
113,감로천경로당,37.46947112,126.90647709999999,독산동
114,은곡경로당,37.46965278,127.10518880000001,율현동
115,임광관악파크(아)경로당,37.46970515,126.91910109999999,신림동
116,신림13동 구립 경로당,37.46978424,126.9225674,신림동
117,화훼마을경로휴게실,37.46984087,127.12569760000001,장지동
118,동아아파트경로당,37.46994908,126.9063248,독산동
119,은천2단지(아)경로당,37.46997513,126.9645618,봉천동
120,무궁화경로당,37.47004041,126.9245376,신림동
121,서초구립 우면주공(아)경로당,37.47018798,127.02422220000001,우면동
122,낙성대현대(아)경로당,37.47028317,126.9704064,봉천동
123,신림6동경로당,37.47051361,126.9279918,신림동
124,방죽1경로당,37.47082577,127.10532549999999,율현동
125,건영2차(아)경로당,37.47084846,126.9169227,신림동
126,구립동산마을경로당,37.47116421,127.04516740000001,양재동
127,동양고속(아)경로당,37.47135736,127.0235672,우면동
128,한라아파트경로당,37.47153086,127.0258906,우면동
129,방죽2경로당,37.47175641,127.10969890000001,율현동
130,약수경로당,37.47180433,126.9122896,신림동
131,신림쌍용(아)경로당,37.47214596,126.911763,신림동
132,코오롱아파트경로당,37.47259581,127.02765690000001,우면동
133,우림루미아트경로당,37.47263353,126.97545520000001,남현동
134,가산동 우정경로당,37.4726928,126.88873159999999,가산동
135,우정경로당,37.4726928,126.88873159999999,가산동
136,방배래미안(아)경로당,37.47270239,126.98400790000001,방배동
137,독산3동 동산경로당,37.47282865,126.90591210000001,독산동
138,대림(아)경로당,37.4728363,127.02300819999999,우면동
139,관수경로당,37.47289601,126.98037109999999,남현동
140,가산삼익아파트경로당,37.4728974,126.8929963,가산동
141,신림동부센트레빌(아)경로당,37.47318823,126.9163186,신림동
142,강남한양수자인(아)경로당,37.4733904,127.09218059999999,자곡동
143,LH강남브리즈힐경로당,37.4733904,127.09218059999999,자곡동
144,래미안포레(아)경로당,37.4733904,127.09218059999999,자곡동
145,래미안강남힐즈(아)경로당,37.4733904,127.09218059999999,자곡동
146,LH강남3단지아파트경로당,37.4733904,127.09218059999999,자곡동
147,자곡경로당,37.4733904,127.09218059999999,자곡동
148,LH강남아이파크(아)경로당,37.4733904,127.09218059999999,자곡동
149,서초구립암산마을경로당,37.47352305,127.0243269,우면동
150,못골노인정,37.47354363,127.0996507,자곡동
151,자곡경로당,37.47354363,127.0996507,자곡동
152,봉덕경로당,37.47358324,126.95827109999999,봉천동
153,봉천11동 경로당,37.47406469,126.9672655,봉천동
154,문성경로당,37.47415105,126.9023418,독산동
155,우성(아)경로당(방배동),37.47440825,126.9825767,방배동
156,두산아파트 A지구 경로당,37.47455014,126.8927206,가산동
157,두영(아)경로당,37.47479913,126.913909,신림동
158,덕양경로당,37.47486729,126.9659143,봉천동
159,신림현대(아)경로당,37.47499354,126.9322808,신림동
160,방배래미안타워실버 경로당,37.475047700000005,126.9904692,방배동
161,갑을(아)경로당,37.47511037,126.9521196,봉천동
162,매봉경로당,37.47557881,126.8957291,가산동
163,독산1동 영보경로당,37.47561691,126.8973592,독산동
164,신림3동경로당,37.47591891,126.92560309999999,신림동
165,두산아파트 C지구 경로당,37.47603959,126.8917197,가산동
166,백설경로당,37.47612643,126.9536824,봉천동
167,서울대입구삼성(아)경로당,37.4761521,126.9520784,봉천동
168,우성6차(아)경로당,37.47615608,127.05721240000001,개포동
169,건영1차(아)경로당,37.476314,126.91232169999999,신림동
170,임광3차아파트경로당,37.47632179,127.00332390000001,방배동
171,항서 경로당,37.476417,126.8224909,항동
172,서초구립방배3동제2경로당,37.47652291,126.9874375,방배동
173,경남(아)경로당,37.47655529,126.999721,방배동
174,우성아파트경로당,37.47661802,127.02945729999999,양재동
175,서원경로당,37.47676733,126.9333519,신림동
176,하난곡경로당,37.47682452,126.9199601,신림동
177,사립 건영6차(아)경로당,37.47706367,126.95188950000001,봉천동
178,임광1.2차(아)경로당,37.47706515,127.00251909999999,방배동
179,라이프(아)경로당,37.47708968,126.9131754,신림동
180,삼익그린뷰아파트경로당,37.47729895,126.96927050000001,사당동
181,독산신도아파트경로당,37.47740004,126.9002384,독산동
182,신일경로당,37.47743647,126.9264517,신림동
183,독산3동 목화경로당,37.47751922,126.906494,독산동
184,래미안방배아트힐 경로당,37.47767694,127.00511509999998,방배동
185,덕진경로당,37.4778154,126.955627,봉천동
186,우창경로당,37.47783485,126.8776886,가산동
187,구립일선경로당,37.47794411,126.9494541,봉천동
188,르메이에르타운 경로당,37.47840007,126.97374140000001,사당동
189,개포시영(아)경로당,37.47840721,127.05423370000001,개포동
190,대룡경로당,37.47848937,127.06161440000001,개포동
191,서초구립방배3동제1경로당,37.47849965,126.9916733,방배동
192,파인타운4단지,37.478508399999996,127.1365821,장지동
193,파인타운7단지경로당,37.478508399999996,127.1365821,장지동
194,파인타운10단지,37.478508399999996,127.1365821,장지동
195,파인타운11단지 경로당,37.478508399999996,127.1365821,장지동
196,파인타운9단지 경로당,37.478508399999996,127.1365821,장지동
197,파인타운9단지 경로당,37.478508399999996,127.1365821,장지동
198,파인타운8단지,37.478508399999996,127.1365821,장지동
199,파인타운2단지,37.478508399999996,127.1365821,장지동
200,파인타운3단지,37.478508399999996,127.1365821,장지동
201,파인타운6단지,37.478508399999996,127.1365821,장지동
202,공단경로당,37.47864307,126.87718559999999,가산동
203,삼익아파트경로당,37.47887673,127.00158970000001,방배동
204,사당1동,37.47890102,126.97324979999999,사당동
205,상신A,37.47890349,126.97113859999999,사당동
206,사당휴먼시아 경로당,37.47896244,126.97014809999999,사당동
