전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역
0322,동대입구역,Dongguk Univ.,3호선,332,동대입구역 3호선,서울 중구 동호로 지하 256,37.559030224347,127.005460196954,0
0324,금호역,Geumho,3호선,334,금호역 3호선,서울 성동구 동호로 지하 104,37.5481125196986,127.015893753726,0
0325,옥수역,Oksu,3호선,335,옥수역 3호선,서울 성동구 동호로 21,37.5410468905674,127.018329991576,1
0326,압구정역,Apgujeong,3호선,336,압구정역 3호선,서울 강남구 압구정로 지하 172,37.5264308236177,127.028480919224,0
0327,신사역,Sinsa,3호선,337,신사역 3호선,서울 강남구 도산대로 지하 102,37.5164324582415,127.020326886309,0
0328,잠원역,Jamwon,3호선,338,잠원역 3호선,서울 서초구 잠원로4길 지하 46,37.5127991148107,127.01122017966,0
0329,고속터미널역,Express Bus Terminal,3호선,339,고속터미널역 3호선,서울 서초구 신반포로 지하 188,37.504647182738,127.004442096367,1
0330,교대역,Seoul Nat`l Univ. of Education,3호선,340,교대역 3호선,서울 서초구 서초대로 지하 294,37.4935774661715,127.014155572616,1
0331,남부터미널역,Nambu Bus Terminal,3호선,341,남부터미널역 3호선,서울 서초구 서초중앙로 지하 31,37.48514016604,127.016207055102,0
2738,이수역,Isu,7호선,736,이수역 7호선,서울 동작구 사당로 지하 310,37.485015143952,126.981021812089,0
2811,암사역,Amsa,8호선,810,암사역 8호선,서울 강동구 올림픽로 지하 776,37.5501403417224,127.127540246626,0
2812,천호역,Cheonho,8호선,811,천호역 8호선,서울 강동구 천호대로 지하 997,37.5385789820645,127.123742434482,1
2813,강동구청역,Gangdong-gu Office,8호선,812,강동구청역 8호선,서울 강동구 올림픽로 지하 550,37.5306740877124,127.12057605164,0
4132,석촌고분역,Seokchon Gobun,9호선,932,석촌고분역 9호선,서울 송파구 백제고분로 지하 274,37.5024703189666,127.096703734242,0
0218,종합운동장역,Sports Complex,2호선,218,종합운동장역 2호선,서울 송파구 올림픽로 지하 23,37.5109692748993,127.073356018706,1
0219,삼성역,Samseong,2호선,219,삼성역 2호선,서울 강남구 테헤란로 지하 538,37.5088619974404,127.063073009788,0
0220,선릉역,Seolleung,2호선,220,선릉역 2호선,서울 강남구 테헤란로 지하 340,37.5045028775835,127.048942471228,1
0221,역삼역,Yeoksam,2호선,221,역삼역 2호선,서울 강남구 테헤란로 지하 156,37.5007162693593,127.036618203089,0
0222,강남역,Gangnam,2호선,222,강남역 2호선,서울 강남구 강남대로 지하 396,37.4981646510326,127.028307900881,1
0223,교대역,Seoul Nat`l Univ. of Education,2호선,223,교대역 2호선,서울 서초구 서초대로 지하 294,37.4935774661715,127.014155572616,1
0317,경복궁역,Gyeongbokgung,3호선,327,경복궁역 3호선,서울 종로구 사직로 지하 130,37.5758613027702,126.973062710191,0
0318,안국역,Anguk,3호선,328,안국역 3호선,서울 종로구 율곡로 지하 62,37.5767203705556,126.985823042976,0
