사업장명,소재지전체주소
(사)대한노인회중구지회부설노인교실,서울특별시 중구 신당동 393-9번지 
한일교회노인교실,서울특별시 중구 신당동 67-87번지 
향우노인교실,서울특별시 중구 을지로4가 72-1번지 401호
한국마사회 영등포문화공감센터 노인교실,서울특별시 영등포구 영등포동3가 
성민사랑노인교실,서울특별시 영등포구 대림동 
영등포성당시니어아카데미,서울특별시 영등포구 영등포동2가 
새생활장수노인교실,서울특별시 영등포구 신길동 
대길장수대학,서울특별시 영등포구 신길동 
문래시니어노인교실,서울특별시 영등포구 문래동3가 
성요셉시니어아카데미,서울특별시 영등포구 신길동 
(사)대한노인회 영등포구지회부설 노인교실,서울특별시 영등포구 영등포동3가 
구립모랫말노인교실,서울특별시 영등포구 도림동 
성락시니어아카데미,서울특별시 영등포구 신길동 
은평 노인교실,서울특별시 강동구 길동 
암사노인교실,서울특별시 강동구 암사동 
천호동 성결교회 노인대학,서울특별시 강동구 길동 415-1번지 
노리터 노인교실,서울특별시 강동구 천호동 562-8번지 지층 
구립 장수춤신바람 노인교실,서울특별시 강동구 천호동 302-4번지 
혜림노아스쿨,서울특별시 강동구 성내동 403번지 
소리마을 노인교실,서울특별시 강동구 천호동 294-26번지 
동암경로학교,서울특별시 강동구 암사동 452-28번지 
목양청노대학,서울특별시 강동구 성내동 120-65번지 
천주교고덕동교회노인교실,서울특별시 강동구 고덕동 177번지 
천호동성당노인교실,서울특별시 강동구 천호동 397-413번지 
참사랑노인대학,서울특별시 강동구 성내동 412번지 
길동교회노인교실,서울특별시 강동구 길동 55-15번지 
성내노인교실,서울특별시 강동구 성내동 508-1번지 
고덕시니어아카데미,서울특별시 강동구 고덕동 
천호학구단위노인교실,서울특별시 강동구 천호동 230-9번지 
강동복지관노인교실,서울특별시 강동구 천호동 
(사)대한노인회 강동구지회부설 노인교실,서울특별시 강동구 명일동 351-2번지 
시니어문화교실,서울특별시 동작구 상도동 170-26번지 
구구팔팔시니어아카데미,서울특별시 동작구 노량진동 
동작50+센터,서울특별시 동작구 노량진동 
흑석시니어아카데미,서울특별시 동작구 흑석동 186번지 
은빛 노인교실,서울특별시 동작구 상도동 134-162번지 
삼광노인교실,서울특별시 동작구 사당동 1002-18번지 
벧엘평생 노인교실,서울특별시 동작구 흑석동 9-7번지 
명수대 노인교실,서울특별시 동작구 흑석동 186-28번지 
강남노인교실,서울특별시 동작구 노량진동 222-73번지 
막달레나노인교실,서울특별시 동작구 신대방동 366-40번지 
성가정노인교실,서울특별시 동작구 상도동 34-1번지 
로사리오노인교실,서울특별시 동작구 사당동 235-57번지 
영은 노인교실,서울특별시 영등포구 양평동3가 
남서울노인교실,서울특별시 영등포구 신길동 
성 바오로 시니어아카데미,서울특별시 영등포구 대림동 
신현실버대학,서울특별시 서대문구 대현동 신현교회 
청춘아카데미,서울특별시 관악구 신림동 
하늘산성 노인대학,서울특별시 송파구 마천동 
양천교회어르신문화교실,서울특별시 강서구 가양동 
아름다운은빛 실버대학,서울특별시 강서구 방화동 204호
서림동 현대아파트 실버교실,서울특별시 관악구 신림동 신림현대아파트 경로당 
시흥중앙교회 시니어아카데미,서울특별시 금천구 시흥동 시흥중앙교회 
행복실버대학,서울특별시 종로구 창신동 138-32번지 
연동실버아카데미,서울특별시 종로구 연지동 
늘푸른대학,서울특별시 종로구 종로6가 
서대문교회실버대학,서울특별시 종로구 송월동 
한강경로아카데미,서울특별시 용산구 한강로3가 63-379번지 3층 
해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 
해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 
해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 
해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 
해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 
이태원교회 실버아카데미,서울특별시 용산구 이태원동 
대한노인회 용산노인대학,서울특별시 용산구 효창동 
비전어르신교실,서울특별시 용산구 원효로2가 
한남동성당 안나 노인교실,서울특별시 용산구 한남동 657-41번지 천주교 한남동 성당 
해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 
한강교회 행복대학,서울특별시 용산구 이촌동 301-54번지 한강교회 
해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 
새남터성당 시니어아카데미,서울특별시 용산구 이촌동 199-1번지 
염천교회 늘푸른대학,서울특별시 용산구 갈월동 11-32번지 
삼각교회 상록대학,서울특별시 용산구 한강로1가 
선인은빛대학,서울특별시 용산구 원효로4가 
용산성당 성모성심 아카데미,서울특별시 용산구 산천동 2-11번지 
원동교회노인대학,서울특별시 용산구 원효로2가 55-3번지 
원동교회 늘품나루학교,서울특별시 용산구 원효로2가 55-3번지 
해방경로대학,서울특별시 용산구 용산동2가 31번지 
해방교회 경로대학,서울특별시 용산구 용산동2가 31번지 
해방촌성당 성가정 노인교실,서울특별시 용산구 용산동2가 
동성교회 경로대학,서울특별시 용산구 동자동 22-70번지 
영주노인대학,서울특별시 용산구 후암동 415-5번지 
영주교회 노인교실,서울특별시 용산구 후암동 415-5번지 
이촌동교회노인교실,서울특별시 용산구 이촌동 199-2번지 
도원동교회 노인교실,서울특별시 용산구 도원동 4-3번지 
청암교회 노인교실,서울특별시 용산구 청파동1가 97-32번지 
