경도,위도
127.1261276783,37.537636767399995
127.1374778317,37.5343452363
127.1515833341,37.549185499400004
127.14917198879999,37.548458515300005
127.1417088127,37.5320831832
127.1462821567,37.5503387769
127.1317854275,37.5359073228
127.14195609139999,37.5430173802
127.14273819,37.545139274099995
127.14335325440001,37.5472888457
127.139044416,37.535500674
127.15263903110001,37.539027720300005
127.1435120147,37.5288186905
127.1408119332,37.540000051
127.1427476982,37.540903001
127.15630226569999,37.5523355923
127.145296789,37.5264492988
127.1441165444,37.551893766300005
127.1533187177,37.5491805325
127.1293729501,37.5249807792
127.139950358,37.5410001682
127.13994325670001,37.5379716943
127.1496813052,37.531860848499996
127.1477323887,37.5271689217
127.1439018605,37.5503328817
127.1440044126,37.5521479025
127.14370902549999,37.5500202843
127.13124797309999,37.530334482600004
127.12815953329999,37.5311760425
127.12207182569999,37.5329121068
127.13751586629999,37.5306630865
127.1272441058,37.537299145300004
127.1375004918,37.531324760100006
127.1363281315,37.5282050672
127.1429044108,37.5343241345
127.1433073067,37.5507461302
127.13542059059999,37.537488483400004
127.1369130009,37.5406088178
127.1398552738,37.5373489921
127.1479929287,37.5442363138
127.1470965338,37.541311037
127.13078932469999,37.5362118233
127.1321018501,37.5360328892
127.1483245167,37.5286324672
127.1488353398,37.5295614209
127.13379275969999,37.5342926211
127.13280666870001,37.532253847199996
127.1255475251,37.531924163
127.13203581389999,37.5224219285
127.1367197258,37.541509413
127.1342525207,37.543820978
127.1488233069,37.5367581698
127.14790340479999,37.5361677525
127.1518157903,37.5546911105
127.1441573136,37.5348204977
127.1467175051,37.5400949748
127.1463808716,37.5390110221
127.1448589865,37.5343438735
127.1435150384,37.5290857227
127.1416242395,37.5274438176
127.1372331336,37.528677153800004
127.13420866889999,37.5294958435
127.12561203540001,37.5319050552
127.14419155549999,37.553788191799995
127.1270540908,37.5375778069
127.149112949,37.5368793039
127.1417107165,37.5339586967
127.14196834389999,37.533813436100004
127.1480864274,37.5362445041
127.1455465002,37.5363253754
127.14370438040001,37.5316924858
127.1476766966,37.5276924573
127.1389947092,37.5281802155
127.13608724459999,37.5289914683
127.13604221920001,37.5289337892
127.1442207584,37.5275672008
127.1455089358,37.5287423665
127.14390199120001,37.531792363
127.1457063022,37.5364447972
127.1471930732,37.5413396753
127.1530710959,37.5518268468
127.1559432243,37.5517061066
127.15606684209999,37.548849716199996
127.1560074469,37.5479003585
127.152752,37.552314
127.1529220161,37.5524082169
127.1439942175,37.5520450645
127.1269789043,37.5376003403
127.13637526264999,37.528135539246996
127.133529582127,37.5355205088294
127.13999920444,37.5378115570072
127.14297084784599,37.5457314720664
127.144000929119,37.5512602756216
127.14854196633199,37.52889572418921
127.1255610915274,37.537788687611155
127.12825428988899,37.533344763860995
127.133292913041,37.53871364924621
127.129858369319,37.531246382553604
127.13221428650101,37.54301443023589
127.134119875695,37.5405255237704
127.13334701567699,37.53287781106
127.133713831478,37.528578721548904
127.15594384968071,37.55361666788229
127.142685034499,37.5510283345265
127.1436541569828,37.53827172282879
127.13665977465608,37.54468162287165
127.149457737265,37.5293284007533
127.13664508072264,37.5446906498624
127.13327934493203,37.53871907055761
127.13481141613701,37.5378655264436
127.12942446783998,37.5383697159717
127.145918080688,37.55438987866221
