경도,위도
127.0833859175,37.5389761877
127.0736930425,37.5466022392
127.0849041555,37.5548902929
127.08919867870001,37.552406179
127.07102774450001,37.5409391399
127.0845868593,37.5431031348
127.08630434770001,37.5458492702
127.0849571895,37.5330115269
127.08953230879999,37.548680422
127.0711681248,37.547859408600004
127.07850901110001,37.5552146998
127.068124225,37.5408158242
127.07083577600001,37.5402365937
127.0815389967,37.5561793641
127.072338809,37.5437450496
127.07498574790002,37.5303753993
127.07690376040001,37.532767372399995
127.08076665950001,37.5315922295
127.0846500642,37.5320074284
127.0841616302,37.535220166799995
127.0926649335,37.5490377373
127.1034045767,37.5454440996
127.0646564819,37.5432013335
127.093923,37.536515
127.0935981051,37.5433276109
127.076933186,37.552074151
127.10531679620001,37.5462720506
127.0788445477,37.5376045921
127.08224436409999,37.5367746404
127.0882468908,37.5376220052
127.09082288809999,37.537984809499996
127.0879931323,37.5376657993
127.08904440479999,37.5449037779
127.0839733956,37.5452073935
127.07731420209998,37.5461600246
127.0903032993,37.5569174442
127.0911365713,37.556319742199996
127.0931520678,37.5548961701
127.0878522092,37.558423169099996
127.092481354,37.5390592237
127.07531745600001,37.546797006999995
127.0905057776,37.5508659029
127.0967339697,37.5379114031
127.0946033365,37.5362595314
127.10944227569999,37.5484803719
127.107479,37.546501
127.1031164986,37.543898997199996
127.1014374434,37.541933245799996
127.0892553112,37.5382365125
127.09059221620001,37.5440499936
127.0948842035,37.5421488445
127.09614926020001,37.5433584877
127.0980518623,37.5452936852
127.10233343360001,37.5469137223
127.10519765229999,37.5476193027
127.1066878483,37.5479685771
127.0948013601,37.5601559483
127.0939576264,37.559136073699996
127.0930293718,37.5589265981
127.09170330959999,37.5586971831
127.0901363151,37.5590045613
127.0886714823,37.5589021611
127.08801427440001,37.5585311657
127.094139486,37.554217656599995
127.09332841700001,37.5531943405
127.0922127822,37.5518093803
127.0916293203,37.5510761289
127.0901684376,37.5494053544
127.08818795010001,37.5476669216
127.08480511450001,37.5367320297
127.0852067043,37.5369450282
127.084281407,37.5423659892
127.08831825600001,37.5476079683
127.0792630555,37.5320335342
127.0822579547,37.5313503446
127.08699757040002,37.5329712528
127.0891023225,37.533680002800004
127.0715617177,37.5420823612
127.0675135607,37.5410220889
127.11047639870002,37.550244641199995
127.08971112520001,37.5402920346
127.0900165132,37.5415506273
127.107576,37.549962
127.0899534187,37.5415506994
127.08965110850001,37.5403059696
127.0959503785,37.5371322994
127.09689892040001,37.5379368868
127.1002749407,37.5408370165
127.10523705530001,37.5460282079
127.1096178569,37.5500264291
127.096058,37.562159
127.0955418801,37.5606772464
127.08927205319999,37.5576560412
127.08935269870001,37.557695834099995
127.0874300416,37.5609405817
127.08705173620001,37.5632355794
127.086685053,37.565408733000005
127.0879979441,37.557576328
127.0920468874,37.5353125577
127.0938460668,37.5359647769
127.0920592455,37.5344953121
127.0768108951,37.5367827662
127.0642255116,37.542440489200004
127.06512247629999,37.5440246289
127.0658662677,37.5453365422
127.0663766774,37.5462385187
127.094664569096,37.5351692767888
127.086179228767,37.5371535596228
127.08937059931002,37.5524011361136
127.103686533578,37.545278664159795
127.07104643853,37.540841605389296
127.07117638592415,37.54529786996797
127.08026103271601,37.5540425401047
127.0921615268345,37.55907763317766
127.08970528225599,37.56829671500021
127.09295747352743,37.552941217914075
127.100289559012,37.551971150317996
127.09012573005356,37.547101341079504
127.08790195401801,37.53828403608721
127.09139022182696,37.5391571599579
127.09145011795401,37.5390976475993
127.09131318764999,37.533513353851106
127.07761018399374,37.52966146352903
127.07529088545608,37.531868615874295
127.078092285273,37.5276338922948
127.09167226282473,37.532932831185065
127.09734621926,37.5538354352314
127.08158295573999,37.5375052411306
127.09019080531401,37.538653972655894
