시군구,행정동,행정동코드,자치구행정동
종로구,사직동,11110530,종로구사직동
종로구,삼청동,11110540,종로구삼청동
종로구,부암동,11110550,종로구부암동
종로구,평창동,11110560,종로구평창동
종로구,무악동,11110570,종로구무악동
종로구,교남동,11110580,종로구교남동
종로구,가회동,11110600,종로구가회동
종로구,종로1.2.3.4가동,11110615,종로구종로1.2.3.4가동
종로구,종로5.6가동,11110630,종로구종로5.6가동
종로구,이화동,11110640,종로구이화동
종로구,창신1동,11110670,종로구창신1동
종로구,창신2동,11110680,종로구창신2동
종로구,창신3동,11110690,종로구창신3동
종로구,숭인1동,11110700,종로구숭인1동
종로구,숭인2동,11110710,종로구숭인2동
종로구,청운효자동,11110515,종로구청운효자동
종로구,혜화동,11110650,종로구혜화동
중구,소공동,11140520,중구소공동
중구,회현동,11140540,중구회현동
중구,명동,11140550,중구명동
중구,필동,11140570,중구필동
중구,장충동,11140580,중구장충동
중구,광희동,11140590,중구광희동
중구,을지로동,11140605,중구을지로동
중구,신당5동,11140650,중구신당5동
중구,황학동,11140670,중구황학동
중구,중림동,11140680,중구중림동
중구,신당동,11140615,중구신당동
중구,다산동,11140625,중구다산동
중구,약수동,11140635,중구약수동
중구,청구동,11140645,중구청구동
중구,동화동,11140665,중구동화동
용산구,후암동,11170510,용산구후암동
용산구,용산2가동,11170520,용산구용산2가동
용산구,남영동,11170530,용산구남영동
용산구,원효로2동,11170570,용산구원효로2동
용산구,효창동,11170580,용산구효창동
용산구,용문동,11170590,용산구용문동
용산구,이촌1동,11170630,용산구이촌1동
용산구,이촌2동,11170640,용산구이촌2동
용산구,이태원1동,11170650,용산구이태원1동
용산구,이태원2동,11170660,용산구이태원2동
용산구,서빙고동,11170690,용산구서빙고동
용산구,보광동,11170700,용산구보광동
용산구,청파동,11170555,용산구청파동
용산구,원효로1동,11170560,용산구원효로1동
용산구,한강로동,11170625,용산구한강로동
용산구,한남동,11170685,용산구한남동
성동구,왕십리2동,11200520,성동구왕십리2동
성동구,마장동,11200540,성동구마장동
성동구,사근동,11200550,성동구사근동
성동구,행당1동,11200560,성동구행당1동
성동구,행당2동,11200570,성동구행당2동
성동구,응봉동,11200580,성동구응봉동
성동구,금호1가동,11200590,성동구금호1가동
성동구,금호4가동,11200620,성동구금호4가동
성동구,성수1가1동,11200650,성동구성수1가1동
성동구,성수1가2동,11200660,성동구성수1가2동
성동구,성수2가1동,11200670,성동구성수2가1동
성동구,성수2가3동,11200690,성동구성수2가3동
