자치구,분류,시설명,주소,위도,경도,전화번호,비고,홈페이지,강습여부,실내/실외,주차장
송파구,구기체육관,올림픽공원 제1체육관,송파구 방이동 올림픽로 424,37.519322,127.127209,-,,-,무,실내,-
송파구,수영장,송파구체육문화회관 수영장,송파구 양산로 15,37.4907894,127.1428706,402-3291,6레인,http://www.esongpa.or.kr/,유,실내,강좌 시간 전후 30분까지 이용가능
송파구,수영장,잠실학생수영장,송파구 올림픽로 25 서울종합운동장,37.513737,127.076178,421-3126 ,1947㎡(10레인),www.ssg.go.kr/,유,실내,잠실종합운동장 주차장 이용
송파구,구기체육관,잠실실내체육관,송파구 잠실동 올림픽로 25,37.516463,127.075923,2240-8800,,http://stadium.seoul.go.kr/,무,실내,잠실종합운동장 주차장 이용
성북구,생활체육관,성북종합레포츠타운,성북구 한천로58길 30,37.6095158,127.0699065,6917-1100,,http://www.gongdan.go.kr/gongdan/sb_reports/intro/intro.jsp,유,실내,주차 가능
성북구,생활체육관,개운산스포츠센터,성북구 북악산로 949-60,37.5968341,127.0262406,925-9960,,https://web.facebook.com/Youngma Climbing Park/,유,실내,회원 3시간 무료
성북구,생활체육관,성북청소년수련관 체육관,성북구 한천로95길 7,37.617548,127.05582,3292-1318,,http://www.sbyouth.or.kr/,유,실내,주차 가능
성북구,생활체육관,성북구민체육관,성북구 성북동 2-1,37.5922983,127.0037807,909-3497,,http://www.gongdan.go.kr/,무,실내,주차 가능
성북구,생활체육관,해오름휘트니스센터,성북구 성북로4길 52,37.5947663,127.0104379,6925-7003,,http://www.gongdan.go.kr/,유,실내,-
성북구,수영장,개운산스포츠센터 수영장,성북구 북악산로 949-60,37.5968341,127.0262406,925-9960,5레인,https://web.facebook.com/Youngma Climbing Park/,유,실내,회원 3시간 무료
성북구,수영장,성북종합레포츠타운 수영장,성북구 한천로58길 30,37.6095158,127.0699065,6917-1100,6레인,http://www.gongdan.go.kr/gongdan/sb_reports/intro/intro.jsp,유,실내,주차 가능
성북구,수영장,성북청소년수련관 수영장,성북구 한천로95길 7,37.617548,127.05582,3292-1318,,http://www.sbyouth.or.kr/,유,실내,주차 가능
성북구,구기체육관,성북구민체육관(월곡배드민턴장),성북구 화랑로 13길 144,37.6106079,127.0403978,909-3497,9면,http://www.gongdan.go.kr/,유,실내,-
성북구,골프연습장,성북종합레포츠타운 골프연습장,성북구 한천로58길 30,37.6095158,127.0699065,6917-1100,15타석,http://www.gongdan.go.kr/gongdan/sb_reports/intro/intro.jsp,유,실내,주차 가능
성동구,생활체육관,성동청소년수련관 체육관,성동구 고산자로 260,37.562377,127.036349,2296-4062,,http://www.sdyc.or.kr/,유,실내,기본 1시간 1000원 초과 10분당 500원
성동구,수영장,성동청소년수련관 수영장,성동구 고산자로 260,37.562377,127.036349,2296-4062,,http://www.sdyc.or.kr/,유,실내,기본 1시간 1000원 초과 10분당 500원
서초구,생활체육관,서일스포츠센터,서초구 서초구 서운로21길 2,37.498567,127.021824,3481-7155,,seoilsports.kr/,유,실내,-
서초구,생활체육관,서리풀언남문화체육센터,서초구 동산로 13길 35,37.472451,127.043345,577-7718,,http://www.3ful.com/,유,실내,회원 1종목 150분 무료 2종목 이상 180분 무료 초과 10분당 300원
서초구,생활체육관,잠원스포츠파크,서초구 신반포로23길 66,37.5112158,127.0052078,533-7508,,http://jwsports.co.kr/,유,실내,주차 가능
서초구,생활체육관,서초구민체육센터,서초구 사평대로 55,37.5068585,127.0215598,591-6060,,http://www.seochoymca.com/,유,실내,주차 가능
서초구,생활체육관,방배열린문화센터,서울 서초구 방배로 173 ,37.4889095,126.9922476,535-2601,,http://bb.sporex.com,유,실내,10분당 300원(109면)
서초구,생활체육관,반포종합운동장 체육센터,서초구 신반포로 16길 30,37.500126,126.995929,593-1330,,http://www.seocho.go.kr/,유,실내,반포종합운동장 반포2동 공영주차장 등 이용
서초구,생활체육관,신동교육문화회관,서초구 잠원동 나루터로 27,37.516385,127.012431,-,,-,유,실내,-
서초구,생활체육관,서초종합체육관,서초구 원지동 28,37.459058,127.041729,572-6131,,http://yj.sporex.com/,유,실내,
서초구,수영장,서초구민체육센터 수영장,서초구 사평대로 55,37.5068585,127.0215598,591-6060,25M 6레인,http://www.seochoymca.com/,유,실내,주차 가능
서초구,수영장,언남문화체육센터 수영장,서초구 동산로 13길 35,37.472451,127.043345,577-7718,,http://www.3ful.com/,유,실내,회원 1종목 150분 무료 2종목 이상 180분 무료 초과 10분당 300원
서초구,수영장,방배열린문화센터 수영장,서울 서초구 방배로 173 ,37.4889095,126.9922476,535-2601,25M 5레인,http://bb.sporex.com,유,실내,10분당 300원(109면)
