행정동코드,행정동,경로당수
1125074,길동,9
1125073,천호2동,14
1125072,암사1동,9
1125071,둔촌2동,6
1125070,둔촌1동,8
1125067,성내3동,1
1125066,성내2동,3
1125065,성내1동,12
1125063,천호3동,4
1125061,천호1동,5
1125059,암사3동,11
1125058,암사2동,2
1125056,고덕2동,3
1125055,고덕1동,9
1125054,명일2동,9
1125053,명일1동,4
1125052,상일동,8
1125051,강일동,12
1124080,잠실3동,6
1124079,잠실2동,3
1124078,잠실7동,2
1124077,잠실6동,3
1124075,잠실4동,5
1124071,잠실본동,5
1124070,장지동,15
1124069,문정2동,3
1124068,문정1동,6
1124067,가락2동,11
1124066,가락1동,5
1124065,가락본동,8
1124064,삼전동,2
1124063,석촌동,3
1124062,송파2동,5
1124061,송파1동,5
1124060,오금동,16
1124059,오륜동,2
1124058,방이2동,2
1124057,방이1동,3
1124056,마천2동,5
1124055,마천1동,5
1124054,거여2동,11
1124053,거여1동,6
1124052,풍납2동,12
1124051,풍납1동,6
1123080,개포2동,7
1123079,대치2동,9
1123078,청담동,12
1123077,압구정동,9
1123076,세곡동,20
1123075,수서동,9
1123074,일원2동,3
1123073,일원1동,2
1123072,일원본동,13
1123071,개포4동,3
1123068,개포1동,10
1123067,도곡2동,4
1123066,도곡1동,11
1123065,역삼2동,5
1123064,역삼1동,19
1123063,대치4동,6
1123060,대치1동,13
1123059,삼성2동,10
1123058,삼성1동,12
1123053,논현2동,5
1123052,논현1동,5
1123051,신사동,3
1122068,내곡동,14
1122067,양재2동,4
1122066,양재1동,17
1122065,방배4동,4
1122064,방배3동,11
1122063,방배2동,5
1122062,방배1동,5
1122061,방배본동,4
1122060,반포4동,6
1122059,반포3동,8
1122058,반포2동,2
1122057,반포1동,7
1122056,반포본동,1
1122055,잠원동,24
1122054,서초4동,7
1122053,서초3동,8
1122052,서초2동,6
1122051,서초1동,8
1121083,미성동,9
1121082,삼성동,8
1121081,난곡동,5
1121080,청룡동,5
1121079,성현동,8
1121078,은천동,11
1121073,대학동,2
1121072,조원동,5
1121071,난향동,8
1121069,신림동,2
1121068,신사동,3
1121066,서림동,1
1121065,신원동,2
1121064,서원동,4
1121063,남현동,3
1121062,인헌동,4
1121061,중앙동,3
1121058,낙성대동,3
1121057,행운동,5
1121054,청림동,5
1121052,보라매동,3
1120073,사당2동,6
1120072,노량진1동,20
1120071,흑석동,10
1120070,신대방2동,5
1120069,신대방1동,8
1120068,대방동,12
1120067,사당5동,6
1120066,사당4동,6
1120065,사당3동,9
1120063,사당1동,3
1120056,상도4동,16
1120055,상도3동,3
1120054,상도2동,6
1120053,상도1동,10
1120052,노량진2동,2
1119076,문래동,25
1119075,도림동,8
1119074,영등포동,13
1119073,영등포본동,8
1119072,대림3동,9
1119071,대림2동,5
1119070,대림1동,6
1119069,신길7동,3
1119068,신길6동,9
1119067,신길5동,4
1119066,신길4동,14
1119065,신길3동,4
1119063,신길1동,4
1119062,양평2동,13
1119061,양평1동,17
1119056,당산2동,15
1119055,당산1동,14
1119054,여의동,5
1118061,시흥5동,8
1118060,시흥4동,6
1118059,시흥3동,5
1118058,시흥2동,11
1118057,시흥1동,5
1118055,독산4동,8
1118054,독산3동,6
1118053,독산2동,2
1118052,독산1동,19
1118051,가산동,9
1117072,개봉1동,11
1117071,구로2동,10
1117070,가리봉동,4
1117069,수궁동,8
1117068,오류2동,21
1117067,오류1동,9
1117065,개봉3동,5
1117064,개봉2동,13
1117062,고척2동,8
1117061,고척1동,16
1117056,구로5동,13
1117055,구로4동,9
1117054,구로3동,10
1117052,구로1동,13
1117051,신도림동,20
1116074,우장산동,7
1116073,화곡1동,6
1116072,방화3동,16
1116071,방화2동,9
1116070,방화1동,22
1116069,공항동,7
1116067,발산1동,9
1116066,가양3동,8
1116065,가양2동,7
1116064,가양1동,24
1116063,화곡8동,9
1116061,화곡6동,5
1116059,화곡4동,4
1116058,화곡3동,5
1116057,화곡2동,2
1116055,화곡본동,6
1116054,등촌3동,20
1116053,등촌2동,7
1116052,등촌1동,12
1116051,염창동,34
1115072,신정4동,4
1115071,목5동,5
1115070,신정7동,9
1115069,신정6동,3
1115066,신정3동,19
1115065,신정2동,12
1115064,신정1동,18
1115063,신월7동,7
1115062,신월6동,5
1115061,신월5동,2
1115060,신월4동,10
1115059,신월3동,3
1115058,신월2동,8
1115057,신월1동,11
1115054,목4동,6
1115053,목3동,5
1115052,목2동,10
1115051,목1동,17
1114078,아현동,13
1114077,공덕동,14
1114076,서강동,8
1114075,도화동,11
1114074,상암동,6
1114073,성산2동,18
1114072,성산1동,5
1114071,연남동,5
1114070,망원2동,4
1114069,망원1동,5
1114068,합정동,3
1114066,서교동,5
1114063,신수동,11
1114061,염리동,8
1114060,대흥동,7
1114059,용강동,7
1113076,연희동,10
1113075,신촌동,4
1113074,북아현동,5
1113073,충현동,6
1113072,북가좌2동,14
1113071,북가좌1동,4
1113070,남가좌2동,12
1113069,남가좌1동,1
1113068,홍은2동,13
1113066,홍은1동,5
1113065,홍제2동,20
1113064,홍제3동,2
1113062,홍제1동,5
1113052,천연동,12
1112074,역촌동,2
1112073,응암3동,3
1112072,불광2동,6
1112071,진관동,31
1112068,수색동,8
1112067,증산동,6
1112066,신사2동,8
1112065,신사1동,9
1112060,응암2동,4
1112059,응암1동,4
1112058,대조동,4
1112057,구산동,5
1112056,갈현2동,7
1112055,갈현1동,4
1112052,불광1동,12
1112051,녹번동,10
1111078,중계2·3동,10
1111077,상계6·7동,9
1111076,상계3·4동,13
1111075,공릉1·3동,19
1111074,상계10동,6
1111073,상계9동,4
1111072,상계8동,4
1111069,상계5동,6
1111066,상계2동,11
1111065,상계1동,21
1111064,중계4동,10
1111061,중계1동,13
1111060,중계본동,14
1111059,하계2동,4
1111058,하계1동,11
1111056,공릉2동,21
1111053,월계3동,11
1111052,월계2동,7
1111051,월계1동,17
1110065,도봉2동,14
1110064,도봉1동,10
1110063,창5동,12
1110062,창4동,8
1110061,창3동,5
1110060,창2동,7
1110059,창1동,6
1110057,방학3동,16
1110056,방학2동,4
1110055,방학1동,11
1110054,쌍문4동,11
1110053,쌍문3동,7
1110052,쌍문2동,7
1110051,쌍문1동,13
1109075,인수동,7
1109074,우이동,4
1109073,삼각산동,5
1109072,송천동,10
1109071,송중동,6
1109070,미아동,7
1109069,삼양동,14
1109065,수유3동,4
1109064,수유2동,5
1109063,수유1동,5
1109062,번3동,13
1109061,번2동,10
1109060,번1동,6
1108085,석관동,8
1108084,종암동,15
1108083,동선동,4
1108082,삼선동,7
1108081,성북동,4
1108078,장위3동,4
1108077,장위2동,1
1108076,장위1동,5
1108072,월곡2동,6
1108071,월곡1동,9
1108068,길음2동,5
1108066,길음1동,13
1108065,정릉4동,13
1108064,정릉3동,3
1108063,정릉2동,10
1108062,정릉1동,9
1108061,보문동,6
1108060,안암동,6
1108059,돈암2동,11
1108058,돈암1동,1
1107073,망우본동,10
1107072,면목3·8동,8
1107071,면목본동,7
1107070,신내2동,9
1107069,신내1동,18
1107068,망우3동,2
1107065,묵2동,5
1107064,묵1동,13
1107062,중화2동,5
1107061,중화1동,6
1107060,상봉2동,2
1107059,상봉1동,10
1107057,면목7동,12
1107055,면목5동,3
1107054,면목4동,8
1107052,면목2동,5
1106090,이문2동,10
1106089,이문1동,8
1106088,장안2동,11
1106087,장안1동,12
1106086,답십리2동,16
1106085,답십리1동,9
1106084,전농2동,8
1106083,전농1동,2
1106082,제기동,5
1106081,용신동,6
1106080,청량리동,14
1106073,휘경2동,8
1106072,휘경1동,8
1106071,회기동,1
1105067,자양4동,8
1105066,자양3동,13
1105065,자양2동,10
1105064,자양1동,5
1105063,광장동,20
1105062,구의3동,7
1105061,구의2동,3
1105060,구의1동,4
1105059,능동,1
1105058,중곡4동,5
1105057,중곡3동,1
1105056,중곡2동,3
1105055,중곡1동,2
1105054,군자동,4
1105053,화양동,2
1104073,옥수동,13
1104072,금호2·3가동,11
1104071,왕십리도선동,5
1104070,용답동,4
1104069,송정동,5
1104068,성수2가3동,9
1104067,성수2가1동,8
1104066,성수1가2동,7
1104065,성수1가1동,11
1104062,금호4가동,11
1104059,금호1가동,4
1104058,응봉동,9
1104057,행당2동,5
1104056,행당1동,7
1104055,사근동,6
1104054,마장동,12
1104052,왕십리2동,16
1103074,한남동,10
1103073,한강로동,8
1103072,원효로1동,7
1103071,청파동,4
1103070,보광동,11
1103069,서빙고동,8
1103066,이태원2동,6
1103065,이태원1동,5
1103064,이촌2동,5
1103063,이촌1동,10
1103059,용문동,6
1103058,효창동,4
1103057,원효로2동,3
1103053,남영동,4
1103052,용산2가동,4
1103051,후암동,3
1102068,중림동,4
1102067,황학동,2
1102066,신당6동,1
1102065,신당5동,6
1102064,신당4동,5
1102063,신당3동,5
1102062,신당2동,3
1102061,신당1동,4
1102060,을지로동,1
1102059,광희동,3
1102058,장충동,2
1102057,필동,1
1102055,명동,0
1102054,회현동,4
1102052,소공동,1
1101072,청운효자동,2
1101071,숭인2동,2
1101070,숭인1동,2
1101069,창신3동,4
1101068,창신2동,3
1101067,창신1동,3
1101066,명륜3가동,2
1101065,혜화동,4
1101064,이화동,5
1101063,종로5·6가동,5
1101061,종로1·2·3·4가동,14
1101060,가회동,3
1101058,교남동,2
1101057,무악동,2
1101056,평창동,6
1101055,부암동,1
1101054,삼청동,2
1101053,사직동,0
